Sector,Year,Emissions
Power stations,1990,203.01
Power stations,1991,199.60
Power stations,1992,187.58
Power stations,1993,170.26
Power stations,1994,166.06
Power stations,1995,162.96
Power stations,1996,162.65
Power stations,1997,150.15
Power stations,1998,155.27
Power stations,1999,147.23
Power stations,2000,158.61
Power stations,2001,169.36
Power stations,2002,165.03
Power stations,2003,174.01
Power stations,2004,173.68
Power stations,2005,172.93
Power stations,2006,181.72
Power stations,2007,177.53
Power stations,2008,172.45
Power stations,2009,150.78
Power stations,2010,157.03
Power stations,2011,144.30
Power stations,2012,158.14
Power stations,2013,147.15
Power stations,2014,124.01
Power stations,2015,103.89
Power stations,2016,82.10
Power stations,2017,72.15
Power stations,2018,65.76
Power stations,2019,57.79
Power stations,2020,49.52
Power stations,2021,54.09
Energy supply,1990,40.64
Energy supply,1991,40.79
Energy supply,1992,42.06
Energy supply,1993,43.89
Energy supply,1994,44.66
Energy supply,1995,46.62
Energy supply,1996,48.39
Energy supply,1997,48.57
Energy supply,1998,49.32
Energy supply,1999,46.59
Energy supply,2000,46.46
Energy supply,2001,46.86
Energy supply,2002,47.79
Energy supply,2003,46.04
Energy supply,2004,44.71
Energy supply,2005,46.02
Energy supply,2006,42.34
Energy supply,2007,41.65
Energy supply,2008,40.46
Energy supply,2009,39.08
Energy supply,2010,40.09
Energy supply,2011,38.38
Energy supply,2012,34.85
Energy supply,2013,34.08
Energy supply,2014,32.74
Energy supply,2015,33.48
Energy supply,2016,32.92
Energy supply,2017,32.49
Energy supply,2018,31.74
Energy supply,2019,31.54
Energy supply,2020,28.65
Energy supply,2021,26.65
Business,1990,111.30
Business,1991,116.88
Business,1992,113.74
Business,1993,111.85
Business,1994,110.83
Business,1995,108.45
Business,1996,110.46
Business,1997,106.97
Business,1998,106.33
Business,1999,109.24
Business,2000,108.88
Business,2001,106.29
Business,2002,95.42
Business,2003,98.08
Business,2004,97.45
Business,2005,97.23
Business,2006,94.36
Business,2007,92.36
Business,2008,89.70
Business,2009,76.48
Business,2010,78.18
Business,2011,71.60
Business,2012,72.96
Business,2013,73.23
Business,2014,71.00
Business,2015,69.69
Business,2016,67.18
Business,2017,67.60
Business,2018,66.93
Business,2019,64.57
Business,2020,61.46
Business,2021,65.09
Transport,1990,125.37
Transport,1991,123.57
Transport,1992,124.84
Transport,1993,126.17
Transport,1994,127.40
Transport,1995,126.78
Transport,1996,131.23
Transport,1997,132.27
Transport,1998,131.53
Transport,1999,132.64
Transport,2000,130.97
Transport,2001,130.66
Transport,2002,133.29
Transport,2003,132.51
Transport,2004,133.55
Transport,2005,134.28
Transport,2006,134.39
Transport,2007,135.96
Transport,2008,130.07
Transport,2009,125.18
Transport,2010,123.36
Transport,2011,121.17
Transport,2012,120.19
Transport,2013,118.76
Transport,2014,120.08
Transport,2015,122.16
Transport,2016,124.50
Transport,2017,124.71
Transport,2018,123.07
Transport,2019,121.03
Transport,2020,97.74
Transport,2021,107.53
Residential,1990,78.19
Residential,1991,86.91
Residential,1992,84.30
Residential,1993,88.32
Residential,1994,84.14
Residential,1995,79.80
Residential,1996,90.99
Residential,1997,83.88
Residential,1998,85.77
Residential,1999,85.58
Residential,2000,85.80
Residential,2001,88.09
Residential,2002,84.71
Residential,2003,85.51
Residential,2004,87.17
Residential,2005,82.68
Residential,2006,80.07
Residential,2007,76.53
Residential,2008,78.45
Residential,2009,75.24
Residential,2010,84.72
Residential,2011,67.52
Residential,2012,73.90
Residential,2013,74.72
Residential,2014,62.22
Residential,2015,64.75
Residential,2016,66.05
Residential,2017,63.82
Residential,2018,66.02
Residential,2019,63.47
Residential,2020,64.36
Residential,2021,68.09
Other,1990,46.90
Other,1991,44.61
Other,1992,43.40
Other,1993,40.64
Other,1994,42.02
Other,1995,42.59
Other,1996,42.99
Other,1997,40.11
Other,1998,38.63
Other,1999,38.98
Other,2000,36.73
Other,2001,34.77
Other,2002,31.33
Other,2003,32.66
Other,2004,33.20
Other,2005,33.02
Other,2006,30.34
Other,2007,30.18
Other,2008,27.95
Other,2009,21.57
Other,2010,22.73
Other,2011,20.31
Other,2012,21.17
Other,2013,23.27
Other,2014,22.16
Other,2015,22.23
Other,2016,20.65
Other,2017,20.34
Other,2018,20.50
Other,2019,20.94
Other,2020,19.36
Other,2021,20.00
Energy Sector (Total),1990,243.66
Energy Sector (Total),1991,240.38
Energy Sector (Total),1992,229.64
Energy Sector (Total),1993,214.15
Energy Sector (Total),1994,210.71
Energy Sector (Total),1995,209.58
Energy Sector (Total),1996,211.03
Energy Sector (Total),1997,198.72
Energy Sector (Total),1998,204.59
Energy Sector (Total),1999,193.82
Energy Sector (Total),2000,205.07
Energy Sector (Total),2001,216.22
Energy Sector (Total),2002,212.83
Energy Sector (Total),2003,220.05
Energy Sector (Total),2004,218.39
Energy Sector (Total),2005,218.95
Energy Sector (Total),2006,224.06
Energy Sector (Total),2007,219.17
Energy Sector (Total),2008,212.90
Energy Sector (Total),2009,189.86
Energy Sector (Total),2010,197.12
Energy Sector (Total),2011,182.68
Energy Sector (Total),2012,192.99
Energy Sector (Total),2013,181.23
Energy Sector (Total),2014,156.76
Energy Sector (Total),2015,137.37
Energy Sector (Total),2016,115.02
Energy Sector (Total),2017,104.63
Energy Sector (Total),2018,97.50
Energy Sector (Total),2019,89.32
Energy Sector (Total),2020,78.16
Energy Sector (Total),2021,80.74
