DATE,UNRATE,UNEMPLOY
1948-01-01,0.034,2034
1948-02-01,0.038,2328
1948-03-01,0.04,2399
1948-04-01,0.039,2386
1948-05-01,0.035,2118
1948-06-01,0.036000000000000004,2214
1948-07-01,0.036000000000000004,2213
1948-08-01,0.039,2350
1948-09-01,0.038,2302
1948-10-01,0.037000000000000005,2259
1948-11-01,0.038,2285
1948-12-01,0.04,2429
1949-01-01,0.043,2596
1949-02-01,0.047,2849
1949-03-01,0.05,3030
1949-04-01,0.053,3260
1949-05-01,0.061,3707
1949-06-01,0.062,3776
1949-07-01,0.067,4111
1949-08-01,0.068,4193
1949-09-01,0.066,4049
1949-10-01,0.079,4916
1949-11-01,0.064,3996
1949-12-01,0.066,4063
1950-01-01,0.065,4026
1950-02-01,0.064,3936
1950-03-01,0.063,3876
1950-04-01,0.057999999999999996,3575
1950-05-01,0.055,3434
1950-06-01,0.054000000000000006,3367
1950-07-01,0.05,3120
1950-08-01,0.045,2799
1950-09-01,0.044000000000000004,2774
1950-10-01,0.042,2625
1950-11-01,0.042,2589
1950-12-01,0.043,2639
1951-01-01,0.037000000000000005,2305
1951-02-01,0.034,2117
1951-03-01,0.034,2125
1951-04-01,0.031,1919
1951-05-01,0.03,1856
1951-06-01,0.032,1995
1951-07-01,0.031,1950
1951-08-01,0.031,1933
1951-09-01,0.033,2067
1951-10-01,0.035,2194
1951-11-01,0.035,2178
1951-12-01,0.031,1960
1952-01-01,0.032,1972
1952-02-01,0.031,1957
1952-03-01,0.028999999999999998,1813
1952-04-01,0.028999999999999998,1811
1952-05-01,0.03,1863
1952-06-01,0.03,1884
1952-07-01,0.032,1991
1952-08-01,0.034,2087
1952-09-01,0.031,1936
1952-10-01,0.03,1839
1952-11-01,0.027999999999999997,1743
1952-12-01,0.027000000000000003,1667
1953-01-01,0.028999999999999998,1839
1953-02-01,0.026000000000000002,1636
1953-03-01,0.026000000000000002,1647
1953-04-01,0.027000000000000003,1723
1953-05-01,0.025,1596
1953-06-01,0.025,1607
1953-07-01,0.026000000000000002,1660
1953-08-01,0.027000000000000003,1665
1953-09-01,0.028999999999999998,1821
1953-10-01,0.031,1974
1953-11-01,0.035,2211
1953-12-01,0.045,2818
1954-01-01,0.049,3077
1954-02-01,0.052000000000000005,3331
1954-03-01,0.057,3607
1954-04-01,0.059000000000000004,3749
1954-05-01,0.059000000000000004,3767
1954-06-01,0.055999999999999994,3551
1954-07-01,0.057999999999999996,3659
1954-08-01,0.06,3854
1954-09-01,0.061,3927
1954-10-01,0.057,3666
1954-11-01,0.053,3402
1954-12-01,0.05,3196
1955-01-01,0.049,3157
1955-02-01,0.047,2969
1955-03-01,0.046,2918
1955-04-01,0.047,3049
1955-05-01,0.043,2747
1955-06-01,0.042,2701
1955-07-01,0.04,2632
1955-08-01,0.042,2784
1955-09-01,0.040999999999999995,2678
1955-10-01,0.043,2830
1955-11-01,0.042,2780
1955-12-01,0.042,2761
1956-01-01,0.04,2666
1956-02-01,0.039,2606
1956-03-01,0.042,2764
1956-04-01,0.04,2650
1956-05-01,0.043,2861
1956-06-01,0.043,2882
1956-07-01,0.044000000000000004,2952
1956-08-01,0.040999999999999995,2701
1956-09-01,0.039,2635
1956-10-01,0.039,2571
1956-11-01,0.043,2861
1956-12-01,0.042,2790
1957-01-01,0.042,2796
1957-02-01,0.039,2622
1957-03-01,0.037000000000000005,2509
1957-04-01,0.039,2600
1957-05-01,0.040999999999999995,2710
1957-06-01,0.043,2856
1957-07-01,0.042,2796
1957-08-01,0.040999999999999995,2747
1957-09-01,0.044000000000000004,2943
1957-10-01,0.045,3020
1957-11-01,0.051,3454
1957-12-01,0.052000000000000005,3476
1958-01-01,0.057999999999999996,3875
1958-02-01,0.064,4303
1958-03-01,0.067,4492
1958-04-01,0.07400000000000001,5016
1958-05-01,0.07400000000000001,5021
1958-06-01,0.073,4944
1958-07-01,0.075,5079
1958-08-01,0.07400000000000001,5025
1958-09-01,0.071,4821
1958-10-01,0.067,4570
1958-11-01,0.062,4188
1958-12-01,0.062,4191
1959-01-01,0.06,4068
1959-02-01,0.059000000000000004,3965
1959-03-01,0.055999999999999994,3801
1959-04-01,0.052000000000000005,3571
1959-05-01,0.051,3479
1959-06-01,0.05,3429
1959-07-01,0.051,3528
1959-08-01,0.052000000000000005,3588
1959-09-01,0.055,3775
1959-10-01,0.057,3910
1959-11-01,0.057999999999999996,4003
1959-12-01,0.053,3653
1960-01-01,0.052000000000000005,3615
