Country,ISO3,HDI Rank,Human Development,HPI Rank,Passport Access,GPI Rank,Global Peace,FSI Rank,Fragile States
Switzerland,CHE,1.0,0.962,6,188,11.0,1.357,6.0,18.9
Norway,NOR,2.0,0.961,6,188,17.0,1.465,2.0,15.6
Iceland,ISL,3.0,0.959,11,182,1.0,1.107,3.0,17.1
Hong Kong,HKG,4.0,0.952,16,172,,,,
Australia,AUS,5.0,0.951,7,187,27.0,1.565,12.0,22.7
Denmark,DNK,6.0,0.948,5,189,4.0,1.296,5.0,18.1
Sweden,SWE,7.0,0.947,4,190,26.0,1.564,10.0,20.9
Ireland,IRL,8.0,0.945,6,188,3.0,1.288,9.0,20.8
Germany,DEU,9.0,0.942,3,191,16.0,1.462,13.0,23.6
Netherlands,NLD,10.0,0.941,5,189,21.0,1.522,11.0,22.1
Finland,FIN,11.0,0.94,4,190,14.0,1.439,1.0,15.1
Singapore,SGP,12.0,0.939,1,193,9.0,1.326,15.0,25.8
Belgium,BEL,13.0,0.937,6,188,22.0,1.526,20.0,31.9
New Zealand,NZL,13.0,0.937,6,188,2.0,1.269,4.0,17.5
Canada,CAN,15.0,0.936,8,186,12.0,1.389,8.0,20.1
Liechtenstein,LIE,16.0,0.935,12,180,,,,
Luxembourg,LUX,17.0,0.93,4,190,,,7.0,20.0
United Kingdom,GBR,18.0,0.929,5,189,34.0,1.667,30.0,40.6
Japan,JPN,19.0,0.925,1,193,10.0,1.336,19.0,31.0
South Korea,KOR,19.0,0.925,2,192,43.0,1.779,21.0,32.7
United States,USA,21.0,0.921,7,187,129.0,2.44,40.0,46.6
Israel,ISR,22.0,0.919,22,160,134.0,2.576,34.0,42.6
Malta,MLT,23.0,0.918,8,186,,,22.0,34.7
Slovenia,SVN,23.0,0.918,10,183,7.0,1.316,17.0,27.7
Austria,AUT,25.0,0.916,4,190,5.0,1.3,14.0,25.4
United Arab Emirates,ARE,26.0,0.911,13,178,60.0,1.865,28.0,39.1
Spain,ESP,27.0,0.905,3,191,29.0,1.603,38.0,44.4
France,FRA,28.0,0.903,5,189,65.0,1.895,18.0,30.9
Cyprus,CYP,29.0,0.896,13,178,67.0,1.903,60.0,56.9
Italy,ITA,30.0,0.895,3,191,32.0,1.643,37.0,43.4
