Country,Currency,Year,Value
Argentina, 2017 PPP $,2021,1218.12
Argentina, U.S. dollars,2021,544.82
Argentina, 2017 PPP $,2020,1210.52
Argentina, U.S. dollars,2020,514.35
Argentina, 2017 PPP $,2019,1196.46
Argentina, U.S. dollars,2019,530.92
Argentina, 2017 PPP $,2018,1302.86
Argentina, U.S. dollars,2018,656.95
Argentina, 2017 PPP $,2017,1340.69
Argentina, U.S. dollars,2017,874.86
Argentina, 2017 PPP $,2014,1015.76
Argentina, U.S. dollars,2014,799.98
Argentina, 2017 PPP $,2013,1091.86
Argentina, U.S. dollars,2013,912.41
Argentina, 2017 PPP $,2012,1071.37
Argentina, U.S. dollars,2012,865.27
Argentina, 2017 PPP $,2011,996.67
Argentina, U.S. dollars,2011,766.55
Argentina, U.S. dollars,2010,620.72
Argentina, U.S. dollars,2009,530.51
Argentina, U.S. dollars,2005,281.13
Argentina, U.S. dollars,2004,234.35
Argentina, U.S. dollars,2008,792.15
Argentina, U.S. dollars,2007,635.73
Argentina, U.S. dollars,2006,527.67
Brazil, 2017 PPP $,2021,954.0
Brazil, U.S. dollars,2021,447.55
Brazil, 2017 PPP $,2016,855.81
Brazil, U.S. dollars,2016,551.29
Brazil, 2017 PPP $,2015,821.24
Brazil, U.S. dollars,2015,514.17
Brazil, 2017 PPP $,2014,829.54
Brazil, U.S. dollars,2014,670.12
Brazil, 2017 PPP $,2013,788.86
Brazil, U.S. dollars,2013,655.53
Brazil, 2017 PPP $,2012,796.11
Brazil, U.S. dollars,2012,677.73
Brazil, 2017 PPP $,2011,728.23
Brazil, U.S. dollars,2011,718.83
Brazil, 2017 PPP $,2009,602.02
Brazil, U.S. dollars,2009,465.39
Brazil, 2017 PPP $,2008,611.87
Brazil, U.S. dollars,2008,489.95
Brazil, 2017 PPP $,2007,562.95
Brazil, U.S. dollars,2007,417.17
Brazil, 2017 PPP $,2006,523.43
Brazil, U.S. dollars,2006,344.53
Brazil, 2017 PPP $,2005,485.89
Brazil, U.S. dollars,2005,283.16
Brazil, 2017 PPP $,2004,463.66
Brazil, U.S. dollars,2004,217.56
Brazil, 2017 PPP $,2003,448.88
Brazil, U.S. dollars,2003,192.83
Brazil, 2017 PPP $,2020,1195.32
Brazil, U.S. dollars,2020,567.26
Brazil, 2017 PPP $,2019,1208.75
Brazil, U.S. dollars,2019,735.33
Brazil, 2017 PPP $,2018,1213.53
Brazil, U.S. dollars,2018,782.2
Brazil, 2017 PPP $,2017,1193.15
Brazil, U.S. dollars,2017,870.12
Brazil, 2017 PPP $,2002,751.2
Brazil, U.S. dollars,2002,303.18
Brazil, 2017 PPP $,2001,751.68
Brazil, U.S. dollars,2001,353.2
Brazil, 2017 PPP $,2000,721.4
Brazil, U.S. dollars,2000,419.0
Brazil, 2017 PPP $,1999,727.66
Brazil, U.S. dollars,1999,411.64
Brazil, 2017 PPP $,1998,711.54
Brazil, U.S. dollars,1998,613.13
Brazil, 2017 PPP $,1997,692.69
Brazil, U.S. dollars,1997,632.36
Brazil, 2017 PPP $,1996,675.45
Brazil, U.S. dollars,1996,632.95
Brazil, 2017 PPP $,1995,691.19
Brazil, U.S. dollars,1995,630.81
Chile, 2017 PPP $,2020,1532.52
Chile, U.S. dollars,2020,928.04
Chile, 2017 PPP $,2015,1143.26
Chile, U.S. dollars,2015,781.72
Chile, 2017 PPP $,2013,1169.19
Chile, U.S. dollars,2013,921.06
Chile, 2017 PPP $,2011,1119.9
Chile, U.S. dollars,2011,857.17
Chile, 2017 PPP $,2009,990.6
Chile, U.S. dollars,2009,648.61
Chile, 2017 PPP $,2019,1746.7
Chile, U.S. dollars,2019,1151.62
Chile, 2017 PPP $,2017,1634.08
Chile, U.S. dollars,2017,1166.64
Chile, 2017 PPP $,2016,1457.83
Chile, U.S. dollars,2016,975.37
Chile, 2017 PPP $,2005,714.79
Chile, U.S. dollars,2005,494.64
Chile, 2017 PPP $,2004,719.9
Chile, U.S. dollars,2004,449.06
Chile, 2017 PPP $,2003,691.63
Chile, U.S. dollars,2003,382.57
Chile, 2017 PPP $,2002,673.79
Chile, U.S. dollars,2002,371.96
Chile, 2017 PPP $,2001,662.41
Chile, U.S. dollars,2001,388.98
Chile, 2017 PPP $,2000,654.47
Chile, U.S. dollars,2000,439.75
Chile, 2017 PPP $,1999,634.6
Chile, U.S. dollars,1999,444.3
Chile, 2017 PPP $,1998,617.75
Chile, U.S. dollars,1998,472.95
Chile, 2017 PPP $,1997,589.98
Chile, U.S. dollars,1997,483.1
Chile, 2017 PPP $,1996,550.43
Chile, U.S. dollars,1996,449.91
Chile, 2017 PPP $,1995,502.45
Chile, U.S. dollars,1995,419.35
Chile, 2017 PPP $,1994,456.85
Chile, U.S. dollars,1994,344.91
Chile, 2017 PPP $,1993,411.84
Chile, U.S. dollars,1993,297.62
Chile, 2017 PPP $,1992,955.46
Chile, U.S. dollars,1992,702.92
Chile, 2017 PPP $,1991,872.82
Chile, U.S. dollars,1991,595.08
Chile, 2017 PPP $,1990,782.75
Chile, U.S. dollars,1990,523.15
Chile, U.S. dollars,1989,473.25
Chile, U.S. dollars,1988,435.18
Chile, U.S. dollars,1987,393.22
Chile, U.S. dollars,1986,378.9
Chile, U.S. dollars,1985,370.35
Chile, U.S. dollars,1984,492.02
Chile, U.S. dollars,1983,503.88
Chile, U.S. dollars,1982,399.19
