State,State FIPS,County,Industry,Date,Quarter,Establishments,Employment,Average Weekly Wage,NOFO Region,ID,Employment (% of total)
Illinois,17,Adams,Manufacturing,1990-07-01,Q3 1990,97,6034,481,West Central,17001,0.21541537253221948
Illinois,17,Alexander,Manufacturing,1990-07-01,Q3 1990,11,446,400,Southern,17003,0.20534069981583794
Illinois,17,Bond,Manufacturing,1990-07-01,Q3 1990,13,598,395,Southwest Central,17005,0.20161834120026972
Illinois,17,Boone,Manufacturing,1990-07-01,Q3 1990,49,5819,700,Northern,17007,0.5295295295295295
Illinois,17,Bureau,Manufacturing,1990-07-01,Q3 1990,46,2270,427,Northwest,17011,0.19016503309039123
Illinois,17,Carroll,Manufacturing,1990-07-01,Q3 1990,20,677,324,Northwest,17015,0.14994462901439645
Illinois,17,Cass,Manufacturing,1990-07-01,Q3 1990,17,1732,380,Central,17017,0.38825375476350593
Illinois,17,Champaign,Manufacturing,1990-07-01,Q3 1990,160,10035,427,Northeast Central,17019,0.12664378202377646
Illinois,17,Christian,Manufacturing,1990-07-01,Q3 1990,23,1016,449,Central,17021,0.09648622981956315
Illinois,17,Clark,Manufacturing,1990-07-01,Q3 1990,21,724,396,Southeast Central,17023,0.19102902374670186
Illinois,17,Clay,Manufacturing,1990-07-01,Q3 1990,28,1822,331,Southeast Central,17025,0.3977297533289675
Illinois,17,Clinton,Manufacturing,1990-07-01,Q3 1990,33,1011,325,Southwest Central,17027,0.11419857675364284
Illinois,17,Coles,Manufacturing,1990-07-01,Q3 1990,52,4178,475,Southeast Central,17029,0.19447935576967834
Illinois,17,Cook,Manufacturing,1990-07-01,Q3 1990,9748,426452,549,Suburban,17031,0.16423944917170097
Illinois,17,Crawford,Manufacturing,1990-07-01,Q3 1990,20,1624,542,Southeast Central,17033,0.288403480731664
Illinois,17,Cumberland,Manufacturing,1990-07-01,Q3 1990,5,103,289,Southeast Central,17035,0.07680835197613721
Illinois,17,DeKalb,Manufacturing,1990-07-01,Q3 1990,121,6631,445,Northern,17037,0.2259207522741985
Illinois,17,DeWitt,Manufacturing,1990-07-01,Q3 1990,19,1124,482,North Central,17039,0.18925745074928438
Illinois,17,Douglas,Manufacturing,1990-07-01,Q3 1990,42,1902,573,Northeast Central,17041,0.2931565967940814
Illinois,17,DuPage,Manufacturing,1990-07-01,Q3 1990,1870,59918,553,Collar,17043,0.14314519018973582
Illinois,17,Edgar,Manufacturing,1990-07-01,Q3 1990,25,794,462,Southeast Central,17045,0.17473591549295775
Illinois,17,Effingham,Manufacturing,1990-07-01,Q3 1990,49,2912,398,Southeast Central,17049,0.1776584711121957
Illinois,17,Fayette,Manufacturing,1990-07-01,Q3 1990,21,1115,396,Southeast Central,17051,0.24066479602849125
Illinois,17,Ford,Manufacturing,1990-07-01,Q3 1990,21,889,363,Northeast Central,17053,0.20199954555782776
Illinois,17,Franklin,Manufacturing,1990-07-01,Q3 1990,42,563,413,Southern,17055,0.06258337038683859
Illinois,17,Fulton,Manufacturing,1990-07-01,Q3 1990,23,445,249,North Central,17057,0.045324913424322676
