County,ID,FIPS,Year,Unemployment Rate,State,National
Adams,17001,001,2022,3.3,4.6,3.6
Alexander,17003,003,2022,6.3,4.6,3.6
Bond,17005,005,2022,3.8,4.6,3.6
Boone,17007,007,2022,6.4,4.6,3.6
Brown,17009,009,2022,2.2,4.6,3.6
Bureau,17011,011,2022,4.4,4.6,3.6
Calhoun,17013,013,2022,4,4.6,3.6
Carroll,17015,015,2022,3.8,4.6,3.6
Cass,17017,017,2022,4.2,4.6,3.6
Champaign,17019,019,2022,3.8,4.6,3.6
Christian,17021,021,2022,4.6,4.6,3.6
Clark,17023,023,2022,4.2,4.6,3.6
Clay,17025,025,2022,4.7,4.6,3.6
Clinton,17027,027,2022,3,4.6,3.6
Coles,17029,029,2022,4.2,4.6,3.6
Cook,17031,031,2022,5,4.6,3.6
Crawford,17033,033,2022,4.1,4.6,3.6
Cumberland,17035,035,2022,3.4,4.6,3.6
DeKalb,17037,037,2022,4.2,4.6,3.6
DeWitt,17039,039,2022,4,4.6,3.6
Douglas,17041,041,2022,3.3,4.6,3.6
DuPage,17043,043,2022,3.6,4.6,3.6
Edgar,17045,045,2022,3.4,4.6,3.6
Edwards,17047,047,2022,4.4,4.6,3.6
Effingham,17049,049,2022,3,4.6,3.6
Fayette,17051,051,2022,4.3,4.6,3.6
Ford,17053,053,2022,4,4.6,3.6
Franklin,17055,055,2022,5.2,4.6,3.6
Fulton,17057,057,2022,4.8,4.6,3.6
Gallatin,17059,059,2022,5,4.6,3.6
Greene,17061,061,2022,4.1,4.6,3.6
Grundy,17063,063,2022,4.9,4.6,3.6
Hamilton,17065,065,2022,3.4,4.6,3.6
Hancock,17067,067,2022,3.9,4.6,3.6
Hardin,17069,069,2022,5.1,4.6,3.6
Henderson,17071,071,2022,4,4.6,3.6
Henry,17073,073,2022,4.2,4.6,3.6
Iroquois,17075,075,2022,4.5,4.6,3.6
Jackson,17077,077,2022,4.2,4.6,3.6
Jasper,17079,079,2022,3.7,4.6,3.6
Jefferson,17081,081,2022,4.6,4.6,3.6
Jersey,17083,083,2022,3.5,4.6,3.6
Jo Daviess,17085,085,2022,3.7,4.6,3.6
Johnson,17087,087,2022,5.4,4.6,3.6
Kane,17089,089,2022,4.5,4.6,3.6
Kankakee,17091,091,2022,5.3,4.6,3.6
Kendall,17093,093,2022,4,4.6,3.6
Knox,17095,095,2022,5.2,4.6,3.6
Lake,17097,097,2022,4.2,4.6,3.6
LaSalle,17099,099,2022,4.9,4.6,3.6
Lawrence,17101,101,2022,5.6,4.6,3.6
Lee,17103,103,2022,4,4.6,3.6
Livingston,17105,105,2022,4,4.6,3.6
Logan,17107,107,2022,4.2,4.6,3.6
McDonough,17109,109,2022,4.1,4.6,3.6
McHenry,17111,111,2022,4,4.6,3.6
McLean,17113,113,2022,3.5,4.6,3.6
Macon,17115,115,2022,5.5,4.6,3.6
Macoupin,17117,117,2022,3.7,4.6,3.6
Madison,17119,119,2022,3.7,4.6,3.6
Marion,17121,121,2022,4.6,4.6,3.6
Marshall,17123,123,2022,4.6,4.6,3.6
Mason,17125,125,2022,4.5,4.6,3.6
Massac,17127,127,2022,4.8,4.6,3.6
Menard,17129,129,2022,3.6,4.6,3.6
Mercer,17131,131,2022,4.1,4.6,3.6
Monroe,17133,133,2022,2.8,4.6,3.6
Montgomery,17135,135,2022,4.6,4.6,3.6
Morgan,17137,137,2022,4,4.6,3.6
Moultrie,17139,139,2022,3.2,4.6,3.6
Ogle,17141,141,2022,4.8,4.6,3.6
Peoria,17143,143,2022,5,4.6,3.6
Perry,17145,145,2022,4.9,4.6,3.6
Piatt,17147,147,2022,3.4,4.6,3.6
Pike,17149,149,2022,4.2,4.6,3.6
Pope,17151,151,2022,4.5,4.6,3.6
Pulaski,17153,153,2022,6.9,4.6,3.6
Putnam,17155,155,2022,4.7,4.6,3.6
Randolph,17157,157,2022,3.6,4.6,3.6
Richland,17159,159,2022,3.7,4.6,3.6
Rock Island,17161,161,2022,4.3,4.6,3.6
St. Clair,17163,163,2022,4.3,4.6,3.6
Saline,17165,165,2022,5,4.6,3.6
Sangamon,17167,167,2022,4.1,4.6,3.6
Schuyler,17169,169,2022,4.1,4.6,3.6
Scott,17171,171,2022,4.8,4.6,3.6
Shelby,17173,173,2022,4.1,4.6,3.6
Stark,17175,175,2022,4.9,4.6,3.6
Stephenson,17177,177,2022,4.5,4.6,3.6
Tazewell,17179,179,2022,4.1,4.6,3.6
Union,17181,181,2022,5.1,4.6,3.6
Vermilion,17183,183,2022,5,4.6,3.6
Wabash,17185,185,2022,3.3,4.6,3.6
Warren,17187,187,2022,3.9,4.6,3.6
Washington,17189,189,2022,2.4,4.6,3.6
Wayne,17191,191,2022,3.9,4.6,3.6
White,17193,193,2022,3.9,4.6,3.6
Whiteside,17195,195,2022,4,4.6,3.6
Will,17197,197,2022,4.6,4.6,3.6
Williamson,17199,199,2022,4.3,4.6,3.6
Winnebago,17201,201,2022,5.8,4.6,3.6
Woodford,17203,203,2022,3.4,4.6,3.6
