Date,Capital Stock
1950-01-01,10563268.0
1951-01-01,10898386.0
1952-01-01,11258935.0
1953-01-01,11667803.0
1954-01-01,12058041.0
1955-01-01,12496091.0
1956-01-01,12930121.0
1957-01-01,13353822.0
1958-01-01,13737182.0
1959-01-01,14221670.0
1960-01-01,14693055.0
1961-01-01,15185855.0
1962-01-01,15739644.0
1963-01-01,16340958.0
1964-01-01,17002594.0
1965-01-01,17730630.0
1966-01-01,18508236.0
1967-01-01,19239902.0
1968-01-01,19990580.0
1969-01-01,20734748.0
1970-01-01,21379038.0
1971-01-01,22033236.0
1972-01-01,22780132.0
1973-01-01,23606602.0
1974-01-01,24310780.0
1975-01-01,24845794.0
1976-01-01,25479508.0
1977-01-01,26253260.0
1978-01-01,27174884.0
1979-01-01,28144202.0
1980-01-01,28952150.0
1981-01-01,29738288.0
1982-01-01,30368384.0
1983-01-01,31093054.0
1984-01-01,32068518.0
1985-01-01,33127016.0
1986-01-01,34181992.0
1987-01-01,35208604.0
1988-01-01,36224176.0
1989-01-01,37242084.0
1990-01-01,38181148.0
1991-01-01,38943580.0
1992-01-01,39749632.0
1993-01-01,40619356.0
1994-01-01,41576888.0
1995-01-01,42589128.0
1996-01-01,43715496.0
1997-01-01,44934860.0
1998-01-01,46303760.0
1999-01-01,47787892.0
2000-01-01,49329540.0
2001-01-01,50697112.0
2002-01-01,51889248.0
2003-01-01,53148096.0
2004-01-01,54536764.0
2005-01-01,56048848.0
2006-01-01,57539832.0
2007-01-01,58882184.0
2008-01-01,59951996.0
2009-01-01,60486876.0
2010-01-01,61035284.0
2011-01-01,61657132.0
2012-01-01,62424416.0
2013-01-01,63225104.0
2014-01-01,64118472.0
2015-01-01,65053556.0
2016-01-01,65971328.0
2017-01-01,66940280.0
2018-01-01,68005632.0
2019-01-01,69059464.0
