ISO3,UE Duration,Year,Replacement Rate
AUS,1-year,2021,36
AUS,2-month,2021,36
AUS,2-year,2021,36
AUS,5-year,2021,36
AUS,6-month,2021,36
AUT,1-year,2021,51
AUT,2-month,2021,56
AUT,2-year,2021,51
AUT,5-year,2021,51
AUT,6-month,2021,56
BEL,1-year,2021,88
BEL,2-month,2021,88
BEL,2-year,2021,65
BEL,5-year,2021,56
BEL,6-month,2021,88
CAN,1-year,2021,23
CAN,2-month,2021,64
CAN,2-year,2021,23
CAN,5-year,2021,23
CAN,6-month,2021,64
CZE,1-year,2021,12
CZE,2-month,2021,65
CZE,2-year,2021,12
CZE,5-year,2021,12
CZE,6-month,2021,19
DNK,1-year,2021,81
DNK,2-month,2021,81
DNK,2-year,2021,81
DNK,5-year,2021,53
DNK,6-month,2021,81
FIN,1-year,2021,58
FIN,2-month,2021,58
FIN,2-year,2021,29
FIN,5-year,2021,29
FIN,6-month,2021,58
FRA,1-year,2021,65
FRA,2-month,2021,65
FRA,2-year,2021,65
FRA,5-year,2021,33
FRA,6-month,2021,65
DEU,1-year,2021,59
DEU,2-month,2021,59
DEU,2-year,2021,23
DEU,5-year,2021,23
DEU,6-month,2021,59
GRC,1-year,2021,44
GRC,2-month,2021,44
GRC,2-year,2021,22
GRC,5-year,2021,22
GRC,6-month,2021,44
HUN,1-year,2021,11
HUN,2-month,2021,60
HUN,2-year,2021,11
HUN,5-year,2021,11
HUN,6-month,2021,11
ISL,1-year,2021,60
ISL,2-month,2021,75
ISL,2-year,2021,60
ISL,5-year,2021,47
ISL,6-month,2021,75
IRL,1-year,2021,42
IRL,2-month,2021,49
IRL,2-year,2021,37
IRL,5-year,2021,37
IRL,6-month,2021,49
ITA,1-year,2021,59
ITA,2-month,2021,71
ITA,2-year,2021,34
ITA,5-year,2021,34
ITA,6-month,2021,68
JPN,1-year,2021,35
JPN,2-month,2021,78
JPN,2-year,2021,35
JPN,5-year,2021,35
JPN,6-month,2021,78
KOR,1-year,2021,24
KOR,2-month,2021,79
KOR,2-year,2021,24
KOR,5-year,2021,24
KOR,6-month,2021,79
LUX,1-year,2021,85
LUX,2-month,2021,85
LUX,2-year,2021,55
LUX,5-year,2021,55
LUX,6-month,2021,85
NLD,1-year,2021,65
NLD,2-month,2021,69
NLD,2-year,2021,65
NLD,5-year,2021,48
NLD,6-month,2021,65
NZL,1-year,2021,36
NZL,2-month,2021,36
NZL,2-year,2021,36
NZL,5-year,2021,36
NZL,6-month,2021,36
NOR,1-year,2021,67
NOR,2-month,2021,67
NOR,2-year,2021,67
NOR,5-year,2021,24
NOR,6-month,2021,67
POL,1-year,2021,37
POL,2-month,2021,46
POL,2-year,2021,16
POL,5-year,2021,16
POL,6-month,2021,37
PRT,1-year,2021,75
PRT,2-month,2021,75
PRT,2-year,2021,75
PRT,5-year,2021,21
PRT,6-month,2021,75
SVK,1-year,2021,11
SVK,2-month,2021,63
SVK,2-year,2021,11
SVK,5-year,2021,11
SVK,6-month,2021,63
ESP,1-year,2021,79
ESP,2-month,2021,79
ESP,2-year,2021,79
ESP,5-year,2021,37
ESP,6-month,2021,79
SWE,1-year,2021,64
SWE,2-month,2021,72
SWE,2-year,2021,60
SWE,5-year,2021,60
SWE,6-month,2021,72
CHE,1-year,2021,73
CHE,2-month,2021,73
CHE,2-year,2021,25
CHE,5-year,2021,25
CHE,6-month,2021,73
TUR,1-year,2021,0
TUR,2-month,2021,53
TUR,2-year,2021,0
TUR,5-year,2021,0
TUR,6-month,2021,53
GBR,1-year,2021,21
GBR,2-month,2021,21
GBR,2-year,2021,21
GBR,5-year,2021,21
GBR,6-month,2021,21
USA,1-year,2021,54
USA,2-month,2021,57
USA,2-year,2021,13
USA,5-year,2021,13
USA,6-month,2021,57
BGR,1-year,2021,77
BGR,2-month,2021,77
BGR,2-year,2021,12
BGR,5-year,2021,12
BGR,6-month,2021,77
HRV,1-year,2021,39
HRV,2-month,2021,78
HRV,2-year,2021,17
HRV,5-year,2021,17
HRV,6-month,2021,39
CYP,1-year,2021,40
CYP,2-month,2021,61
CYP,2-year,2021,40
CYP,5-year,2021,40
CYP,6-month,2021,61
EST,1-year,2021,45
EST,2-month,2021,65
EST,2-year,2021,16
EST,5-year,2021,16
EST,6-month,2021,45
ISR,1-year,2021,22
ISR,2-month,2021,74
ISR,2-year,2021,22
ISR,5-year,2021,22
ISR,6-month,2021,74
LVA,1-year,2021,28
LVA,2-month,2021,78
LVA,2-year,2021,17
LVA,5-year,2021,17
LVA,6-month,2021,39
LTU,1-year,2021,31
LTU,2-month,2021,80
LTU,2-year,2021,20
LTU,5-year,2021,20
LTU,6-month,2021,68
MLT,1-year,2021,49
MLT,2-month,2021,38
MLT,2-year,2021,49
MLT,5-year,2021,49
MLT,6-month,2021,38
ROU,1-year,2021,32
ROU,2-month,2021,32
ROU,2-year,2021,7
ROU,5-year,2021,7
ROU,6-month,2021,32
SVN,1-year,2021,47
SVN,2-month,2021,79
SVN,2-year,2021,47
SVN,5-year,2021,47
SVN,6-month,2021,68
OECD,1-year,2021,47
OECD,2-month,2021,65
OECD,2-year,2021,37
OECD,5-year,2021,30
OECD,6-month,2021,59
