Year,Value,Sector
1891,6809000.0,Total
1892,7382000.0,Total
1893,30439000.0,Total
1894,9506000.0,Total
1895,5701000.0,Total
1896,3565000.0,Total
1897,10327000.0,Total
1898,15257000.0,Total
1899,2503000.0,Total
1900,3088000.0,Total
1901,4130000.0,Total
1902,3438000.0,Total
1903,2320000.0,Total
1904,1464000.0,Total
1905,2368000.0,Total
1906,3019000.0,Total
1907,2148000.0,Total
1908,10785000.0,Total
1909,2687000.0,Total
1910,9867000.0,Total
1911,10155000.0,Total
1912,40890000.0,Total
1913,9804000.0,Total
1914,9878000.0,Total
1915,2953000.0,Total
1916,2446000.0,Total
1917,5647000.0,Total
1918,5875000.0,Total
1919,34969000.0,Total
1920,26568000.0,Total
1921,85872000.0,Total
1922,19850000.0,Total
1923,10672000.0,Total
1924,8424000.0,Total
1925,7952000.0,Total
1926,162233000.0,Total
1927,1174000.0,Total
1928,1388000.0,Total
1929,8287000.0,Total
1930,4399000.0,Total
1931,6983000.0,Total
1932,6488000.0,Total
1933,1072000.0,Total
1934,959000.0,Total
1935,1955000.0,Total
1936,1829000.0,Total
1937,3413000.0,Total
1938,1334000.0,Total
1939,1356000.0,Total
1940,940000.0,Total
1941,1079000.0,Total
1942,1527000.0,Total
1943,1807000.0,Total
1944,3714000.0,Total
1945,2837000.0,Total
1946,2160000.0,Total
1947,2432000.0,Total
1948,1945000.0,Total
1949,1807000.0,Total
1950,1388000.0,Total
1951,1695000.0,Total
1952,1792000.0,Total
1953,2183000.0,Total
1954,2458000.0,Total
1955,3782000.0,Total
1956,2083000.0,Total
1957,8413000.0,Total
1958,3464000.0,Total
1959,5271000.0,Total
1960,3024000.0,Total
1961,3046000.0,Total
1962,5799000.0,Total
1963,1756000.0,Total
1964,2278000.0,Total
1965,2924000.0,Total
1966,2400000.0,Total
1967,2786000.0,Total
1968,4689000.0,Total
1969,6846000.0,Total
1970,10979000.0,Total
1971,13552000.0,Total
1972,23909000.0,Total
1973,7198000.0,Total
1974,14752000.0,Total
1975,6012000.0,Total
1976,3284000.0,Total
1977,10142000.0,Total
1978,9404000.0,Total
1979,29474000.0,Total
1980,11964000.0,Total
1981,4267000.0,Total
1982,5315000.0,Total
1983,3755000.0,Total
1984,27135000.0,Total
1985,6400000.0,Total
1986,1921000.0,Total
1987,3547000.0,Total
1988,3701000.0,Total
1989,4129000.0,Total
1990,1903000.0,Total
1991,761000.0,Total
1992,526000.0,Total
1993,650000.0,Total
1994,277000.0,Total
1995,414000.0,Total
1996,1303000.0,Total
1997,235000.0,Total
1998,283000.0,Total
1999,242000.0,Total
2000,499000.0,Total
2001,526000.0,Total
2002,1323000.0,Total
2003,500000.0,Total
2004,906000.0,Total
2005,158000.0,Total
2006,755000.0,Total
2007,1040000.0,Total
2008,759000.0,Total
2009,456000.0,Total
2010,365000.0,Total
2011,1388000.0,Total
2012,249000.0,Total
2013,444000.0,Total
2014,786000.0,Total
2015,169000.0,Total
2016,322000.0,Total
2017,275000.0,Total
2018,272000.0,Total
2019,234000.0,Total
2020,18000.0,Total
2021,0.0,Total
2022,2452000.0,Total
2023,220000.0,Total
