State,Shortname,Code,Nominal GDP,Real GDP,Personal Income per Capita,Population,Unemployment Rate,Median Household Income,High School Graduate Rate,Bachelor's Degree Rate,Homeownership Rate,Housing Inventory,Price Parities Index,Nominal GDP per Capita,Real GDP per Capita,Labour Participation Rate,Average Hourly Earnings
Alabama,AL,1,275396.0,212311.6,49769.0,5039.877,2.6,56929,87.9,27.4,73.4,52.0,89.252,50420.0,41664.0,57.2,28.42
Alaska,AK,2,64256.6,48963.4,65813.0,732.673,4.6,81133,93.3,32.8,64.0,58.0,103.239,78274.0,69430.0,66.0,33.69
Arizona,AZ,4,453602.3,353565.6,55487.0,7276.316,3.5,70821,89.0,32.4,65.2,48.0,99.071,57725.0,47779.0,61.0,30.36
Arkansas,AR,5,163778.9,125830.9,50625.0,3025.891,3.4,50784,88.7,25.3,66.1,54.0,89.181,49135.0,40764.0,56.8,25.56
California,CA,6,3558511.9,2866766.2,76614.0,39237.836,4.1,81575,84.4,36.2,54.2,47.0,110.38,85969.0,73264.0,62.5,37.44
Colorado,CO,8,480828.3,383060.0,70706.0,5812.069,3.4,84954,92.4,44.4,65.9,46.0,102.866,75078.0,64308.0,69.6,34.17
Connecticut,CT,9,317906.7,250985.1,83294.0,3605.597,4.1,80958,91.1,42.1,66.1,47.0,103.439,82759.0,68381.0,64.7,34.65
Delaware,DE,10,86672.7,65544.2,59931.0,1003.384,4.5,68687,91.4,35.6,73.5,59.0,97.872,80886.0,64187.0,61.0,29.87
District of Columbia,DC,11,160728.2,128908.0,96477.0,670.05,5.1,90640,92.8,63.0,42.3,,111.459,,,73.0,49.78
Florida,FL,12,1371467.9,1064562.7,62270.0,21781.128,2.7,59734,89.8,33.2,67.2,52.0,100.711,57644.0,47269.0,59.5,29.8
Georgia,GA,13,747535.2,587662.5,55786.0,10799.566,2.8,61497,89.0,34.6,64.0,45.0,94.541,64042.0,53270.0,62.1,29.72
Hawaii,HI,15,96978.9,75083.5,60947.0,1441.553,4.1,82199,92.9,35.3,58.1,62.0,111.985,63193.0,51713.0,61.0,33.56
Idaho,ID,16,108437.8,83427.5,52369.0,1900.923,2.7,76918,91.3,30.7,71.0,59.0,91.196,50651.0,42134.0,62.7,27.46
Illinois,IL,17,1024018.9,794219.2,67244.0,12671.469,4.5,79253,90.2,37.1,68.3,43.0,100.476,74630.0,61560.0,64.6,32.54
