Date,Employees: Manufacturing,Employees: Total Nonfarm,Manufacturing % of Total,Imports from China (12-month avg.),Nominal GDP,Imports (% of GDP),Sources
1992-01-01,16839,108367,0.15538863307095332,19560.2,6315523.0,0.0030971623411077754,https://fred.stlouisfed.org/series/MANEMP
1992-02-01,16829,108313,0.15537377784753445,20000.2,6356726.0,0.00314630518918072,https://fred.stlouisfed.org/series/PAYEMS
1992-03-01,16805,108360,0.15508490217792542,20467.7,6417056.0,0.003189577899896775,https://fred.stlouisfed.org/series/IMPCH
1992-04-01,16831,108515,0.15510298115467908,21041.1,6443172.0,0.0032656430714561088,https://www.spglobal.com/marketintelligence/en/mi/products/us-monthly-gdp-index.html
1992-05-01,16835,108648,0.15494993004933363,21514.2,6433784.0,0.0033439419166077073,
1992-06-01,16826,108717,0.15476880340701085,22167.9,6535333.0,0.0033920077217182354,
1992-07-01,16819,108799,0.15458781790273807,22858.5,6557165.0,0.003486033979623816,
1992-08-01,16783,108922,0.1540827381061677,23599.100000000002,6556862.0,0.0035991454448789685,
1992-09-01,16761,108955,0.15383415171401038,24423.3,6585896.0,0.0037084247914027186,
1992-10-01,16751,109135,0.1534887982773629,24935.3,6637501.0,0.003756730130812786,
1992-11-01,16758,109279,0.15335059801059672,25293.699999999997,6680169.0,0.003786386242623502,
1992-12-01,16769,109502,0.15313875545652134,25727.5,6724739.0,0.003825799038445953,
1993-01-01,16791,109794,0.15293185419968305,26002.5,6717908.0,0.0038706246051598207,
1993-02-01,16805,110044,0.152711642615681,26171.199999999997,6741541.0,0.0038820797796824194,
1993-03-01,16795,109992,0.1526929231216816,26812.6,6728928.0,0.003984676310996343,
1993-04-01,16772,110295,0.15206491681399883,27361.3,6768197.0,0.004042627600821903,
1993-05-01,16766,110570,0.15163245003165415,27883.7,6824218.0,0.004085991977395799,
1993-06-01,16742,110751,0.15116793527823677,28458.699999999997,6834402.0,0.004164036590180092,
1993-07-01,16739,111060,0.1507203313524221,28936.0,6832717.0,0.004234918554361318,
1993-08-01,16741,111209,0.15053637745146525,29546.3,6874016.0,0.004298258834428084,
1993-09-01,16769,111455,0.15045534072047015,30124.5,6939561.0,0.0043409806470466935,
1993-10-01,16778,111733,0.15016154582800068,30653.7,6944388.0,0.004414168678363018,
1993-11-01,16800,111989,0.15001473358990616,31237.300000000003,7035959.0,0.004439664870133553,
1993-12-01,16815,112323,0.1497021981250501,31539.9,7060866.0,0.004466860014054933,
1994-01-01,16855,112598,0.1496918240110837,32115.399999999998,7074338.0,0.0045397039270670975,
1994-02-01,16862,112779,0.14951365059097882,32752.2,7122981.0,0.004598102957174812,
1994-03-01,16897,113240,0.1492140586365242,32852.0,7149637.0,0.0045949185951678385,
1994-04-01,16933,113587,0.14907515824874326,33117.3,7186413.0,0.004608321286294011,
1994-05-01,16962,113923,0.14889003976370005,33720.0,7290264.0,0.004625346901017576,
1994-06-01,17010,114237,0.14890096903805247,34429.1,7264116.0,0.004739613188996431,
1994-07-01,17026,114607,0.1485598610905093,35093.4,7299056.0,0.004807936807170681,
1994-08-01,17081,114899,0.14866099791991227,36035.9,7351816.0,0.004901632467406693,
1994-09-01,17115,115254,0.1484980998490291,36831.6,7342352.0,0.005016321745402563,
1994-10-01,17144,115457,0.14848818174731718,37655.2,7429312.0,0.005068463943902208,
1994-11-01,17186,115872,0.14831883457608394,38289.9,7431624.0,0.005152292419530375,
1994-12-01,17217,116174,0.14820011362266944,38786.8,7504928.0,0.005168177496173182,
1995-01-01,17262,116504,0.14816658655496806,39474.299999999996,7542125.0,0.00523384324709548,
1995-02-01,17265,116692,0.14795358722106056,39976.6,7488416.0,0.005338458760838073,
1995-03-01,17263,116907,0.14766438280000344,40704.0,7536326.0,0.005401040241624367,
1995-04-01,17278,117065,0.14759321744330073,41360.700000000004,7538844.0,0.005486345121347517,
1995-05-01,17259,117050,0.14744980777445535,42036.6,7560727.0,0.005559862166693758,
1995-06-01,17247,117285,0.14705205269216012,42534.0,7643420.0,0.0055647864437647025,
1995-07-01,17218,117377,0.1466897262666451,43200.399999999994,7630558.0,0.005661499460458855,
1995-08-01,17240,117639,0.14655003867764943,43839.3,7674209.0,0.005712549658212332,
1995-09-01,17247,117880,0.14630980658296572,44289.0,7744608.0,0.005718688408761295,
1995-10-01,17216,118029,0.14586245753162358,44902.100000000006,7747374.0,0.005795783190536562,
1995-11-01,17209,118168,0.14563164308442217,45235.8,7747733.0,0.005838585299725739,
1995-12-01,17231,118325,0.14562433974223538,45543.200000000004,7822651.0,0.005821964957915163,
1996-01-01,17208,118318,0.14543856387024798,45750.3,7840048.0,0.005835461721662929,
1996-02-01,17229,118734,0.14510586689575017,46288.4,7852914.0,0.005894423394933397,
1996-03-01,17193,118990,0.14449113370871502,46241.7,7912442.0,0.0058441755402440865,
1996-04-01,17204,119156,0.14438215448655545,46341.299999999996,8025459.0,0.005774286554825088,
1996-05-01,17222,119489,0.14413042204721774,46640.700000000004,8009308.0,0.00582331207639911,
1996-06-01,17226,119770,0.14382566585956416,46791.2,8063754.0,0.005802657174313601,
1996-07-01,17223,120015,0.14350706161729784,47296.1,8099454.0,0.005839418311407164,
1996-08-01,17255,120201,0.14355121837588705,47987.1,8122969.0,0.005907581328945118,
1996-09-01,17252,120402,0.14328665636783441,48883.7,8171801.0,0.005981998337942884,
1996-10-01,17268,120663,0.1431093210014669,49982.299999999996,8250635.0,0.006057994324073238,
1996-11-01,17277,120949,0.14284533150336093,50699.7,8281910.0,0.006121740033398093,
1996-12-01,17284,121145,0.14267200462255974,51512.799999999996,8246768.0,0.006246422841045121,
1997-01-01,17297,121363,0.14252284468907328,52522.7,8309299.999999999,0.006320953630269698,
1997-02-01,17316,121675,0.1423135401684816,53245.5,8385543.0,0.00634967824981638,
1997-03-01,17340,121989,0.14214396380001476,54010.4,8393122.0,0.006435078627476164,
1997-04-01,17349,122284,0.1418746524483988,55207.5,8511573.0,0.006486168890286202,
1997-05-01,17362,122551,0.14167163058644971,56048.299999999996,8476513.0,0.006612188290161296,
1997-06-01,17387,122816,0.14156950234497134,57150.6,8568389.0,0.006669935270212405,
1997-07-01,17389,123112,0.1412453700695302,58111.1,8620438.0,0.0067410843857353886,
1997-08-01,17452,123092,0.1417801319338381,58689.0,8655702.0,0.0067803859236373895,
1997-09-01,17465,123577,0.14132888806169433,59769.700000000004,8712328.0,0.006860359251855532,
1997-10-01,17513,123924,0.14132048674994352,60563.3,8748240.0,0.006922912494398874,
1997-11-01,17556,124229,0.14131965966078774,61403.6,8736645.0,0.007028281451289368,
1997-12-01,17588,124551,0.14121123074082104,62557.7,8812836.0,0.007098475451035285,
1998-01-01,17619,124813,0.1411631801174557,63343.3,8772521.0,0.007220649571542776,
1998-02-01,17627,125019,0.1409945688255385,63640.5,8894487.0,0.0071550500888921415,
1998-03-01,17637,125164,0.14091112460451888,64810.0,8932432.0,0.0072555828020857025,
1998-04-01,17637,125447,0.14059323857884207,65627.9,8925420.0,0.007352920086673792,
1998-05-01,17624,125847,0.14004306817007955,66372.2,8953444.0,0.007413035698888606,
1998-06-01,17608,126078,0.1396595758181443,67178.9,9030232.0,0.0074393326771670975,
1998-07-01,17422,126208,0.13804196247464504,67957.9,9049861.0,0.007509275556828994,
1998-08-01,17563,126547,0.13878637976404024,68664.2,9100670.0,0.007544960975400712,
