State,Filer,Bracket,Rate,Top Rate,Notes,Source
Alabama,Single,0,0.02,FALSE,,https://taxfoundation.org/publications/state-individual-income-tax-rates-and-brackets/
Alabama,Single,500,0.04,FALSE,,
Alabama,Single,3000,0.05,TRUE,,
Alabama,Married,0,0.02,FALSE,,
Alabama,Married,1000,0.04,FALSE,,
Alabama,Married,6000,0.05,TRUE,,
Alaska,Single,,,TRUE,,
Alaska,Married,,,TRUE,,
Arizona,Single,0,0.025,TRUE,Flat Rate,
Arizona,Married,0,0.025,TRUE,Flat Rate,
Arkansas,Single,0,0.02,FALSE,,
Arkansas,Single,4300,0.04,FALSE,,
Arkansas,Single,8500,0.049,TRUE,,
Arkansas,Married,0,0.02,FALSE,,
Arkansas,Married,4300,0.04,FALSE,,
Arkansas,Married,8500,0.049,TRUE,,
California,Single,0,0.01,FALSE,,
California,Single,10099,0.02,FALSE,,
California,Single,23942,0.04,FALSE,,
California,Single,37788,0.06,FALSE,,
California,Single,52455,0.08,FALSE,,
California,Single,66295,0.093,FALSE,,
California,Single,338639,0.103,FALSE,,
California,Single,406364,0.113,FALSE,,
California,Single,677275,0.123,FALSE,,
California,Single,1000000,0.133,TRUE,,
California,Married,0,0.01,FALSE,,
California,Married,20198,0.02,FALSE,,
California,Married,47884,0.04,FALSE,,
California,Married,75576,0.06,FALSE,,
California,Married,104910,0.08,FALSE,,
California,Married,132590,0.093,FALSE,,
California,Married,677278,0.103,FALSE,,
California,Married,812728,0.113,FALSE,,
California,Married,1000000,0.123,FALSE,,
California,Married,1354550,0.133,TRUE,,
Colorado,Single,0,0.044,TRUE,Flat Rate,
Colorado,Married,0,0.044,TRUE,Flat Rate,
Connecticut,Single,0,0.03,FALSE,,
Connecticut,Single,10000,0.05,FALSE,,
Connecticut,Single,50000,0.055,FALSE,,
Connecticut,Single,100000,0.06,FALSE,,
Connecticut,Single,200000,0.065,FALSE,,
Connecticut,Single,250000,0.069,FALSE,,
Connecticut,Single,500000,0.0699,TRUE,,
Connecticut,Married,0,0.03,FALSE,,
Connecticut,Married,20000,0.05,FALSE,,
Connecticut,Married,100000,0.055,FALSE,,
Connecticut,Married,200000,0.06,FALSE,,
Connecticut,Married,400000,0.065,FALSE,,
Connecticut,Married,500000,0.069,FALSE,,
Connecticut,Married,1000000,0.0699,TRUE,,
Delaware,Single,2000,0.022,FALSE,,
Delaware,Single,5000,0.039,FALSE,,
Delaware,Single,10000,0.048,FALSE,,
Delaware,Single,20000,0.052,FALSE,,
Delaware,Single,25000,0.0555,FALSE,,
Delaware,Single,60000,0.066,TRUE,,
Delaware,Married,2000,0.022,FALSE,,
Delaware,Married,5000,0.039,FALSE,,
Delaware,Married,10000,0.048,FALSE,,
Delaware,Married,20000,0.052,FALSE,,
Delaware,Married,25000,0.0555,FALSE,,
Delaware,Married,60000,0.066,TRUE,,
Florida,Single,,,TRUE,,
Florida,Married,,,TRUE,,
Georgia,Single,0,0.01,FALSE,,
Georgia,Single,750,0.02,FALSE,,
Georgia,Single,2250,0.03,FALSE,,
Georgia,Single,3750,0.04,FALSE,,
Georgia,Single,5250,0.05,FALSE,,
Georgia,Single,7000,0.0575,TRUE,,
Georgia,Married,0,0.01,FALSE,,
Georgia,Married,1000,0.02,FALSE,,
Georgia,Married,3000,0.03,FALSE,,
Georgia,Married,5000,0.04,FALSE,,
Georgia,Married,7000,0.05,FALSE,,
Georgia,Married,10000,0.0575,TRUE,,
Hawaii,Single,0,0.014,FALSE,,
