Date,Total Imports,GDP,Median Weekly Earnings,Imports (%),Sources
1979-01-01,229.828,2526.61,335.0,0.09096298993513047,https://fred.stlouisfed.org/series/IMPGS
1979-04-01,243.097,2591.247,335.0,0.09381467687179185,https://fred.stlouisfed.org/series/GDP
1979-07-01,257.306,2667.565,330.0,0.09645725596189783,https://fred.stlouisfed.org/series/LES1252881600Q
1979-10-01,280.466,2723.883,326.0,0.10296550916467412,
1980-01-01,304.311,2789.842,321.0,0.10907822020028374,
1980-04-01,292.6,2797.352,315.0,0.10459892069357021,
1980-07-01,279.202,2856.483,319.0,0.0977432738090862,
1980-10-01,299.2,2985.557,315.0,0.10021580562688973,
1981-01-01,319.726,3124.206,314.0,0.10233832212088446,
1981-04-01,321.963,3162.532,311.0,0.10180545208712513,
1981-07-01,309.9,3260.609,309.0,0.09504359461683384,
1981-10-01,319.445,3280.818,312.0,0.09736748579165318,
1982-01-01,309.478,3274.302,312.0,0.09451724367514053,
1982-04-01,299.115,3331.972,314.0,0.08977116254278247,
1982-07-01,309.282,3366.322,311.0,0.09187534644635896,
1982-10-01,294.861,3402.561,313.0,0.08665854925157844,
1983-01-01,295.251,3473.413,315.0,0.08500313668429293,
1983-04-01,317.949,3578.848,314.0,0.08884115782508785,
1983-07-01,343.381,3689.179,315.0,0.09307789077190344,
1983-10-01,357.972,3794.706,312.0,0.09433458086080976,
1984-01-01,387.978,3908.054,313.0,0.09927651972055658,
1984-04-01,406.501,4009.601,312.0,0.10138190807514263,
1984-07-01,409.591,4084.25,313.0,0.10028548693150517,
1984-10-01,416.359,4148.551,316.0,0.10036251211567604,
1985-01-01,397.308,4230.168,314.0,0.09392251087900055,
1985-04-01,418.571,4294.887,323.0,0.09745797735772793,
1985-07-01,414.168,4386.773,320.0,0.09441290898799641,
1985-10-01,438.867,4444.094,320.0,0.09875286166314214,
1986-01-01,439.418,4507.894,321.0,0.09747744734015484,
1986-04-01,443.99,4545.34,328.0,0.09768026154259087,
1986-07-01,459.432,4607.669,328.0,0.09971028734919979,
1986-10-01,468.628,4657.627,331.0,0.10061518451348722,
1987-01-01,477.685,4722.156,328.0,0.10115824212499545,
1987-04-01,502.337,4806.16,328.0,0.10451940842585349,
1987-07-01,517.318,4884.555,330.0,0.10590893131513515,
1987-10-01,537.511,5007.994,328.0,0.10733059983698064,
1988-01-01,542.714,5073.372,329.0,0.1069730348967117,
1988-04-01,546.098,5190.036,325.0,0.10522046475207493,
1988-07-01,552.849,5282.835,325.0,0.10465006005298293,
1988-10-01,574.314,5399.509,324.0,0.10636411570014977,
1989-01-01,586.154,5511.253,323.0,0.10635585047538192,
1989-04-01,595.389,5612.463,322.0,0.10608337195274162,
1989-07-01,584.427,5695.365,322.0,0.10261449441782924,
1989-10-01,598.152,5747.237,322.0,0.10407644577733614,
1990-01-01,626.767,5872.701,319.0,0.1067255084159742,
1990-04-01,614.759,5960.028,319.0,0.10314699863826143,
1990-07-01,630.102,6015.116,313.0,0.10475309204344521,
1990-10-01,647.282,6004.733,312.0,0.10779530080688017,
