State,Region,Census Region,Current GDP,Real GDP,Population,Current GDP per capita,Real GDP per capita
Alabama,Southeast,South,280220,212946,5074296,55223.4241,41965.62439
Alaska,Far West,West,65130,49999,733583,88783.40965,68157.2501
Arizona,Southwest,West,463654,356966,7359197,63003.34126,48506.10739
Arkansas,Southeast,South,166488,126248,3045637,54664.42652,41452.08375
California,Far West,West,3634821,2893948,39029342,93130.47092,74148.00895
Colorado,Rocky Mountain,West,489340,386375,5839926,83792.15764,66160.94108
Connecticut,New England,North East,323825,252526,3626205,89301.34948,69639.1958
Delaware,Mideast,South,88147,65846,1018396,86554.73902,64656.5776
District of Columbia,Mideast,South,163150,129224,671803,242853.9319,192354.0085
Florida,Southeast,South,1403241,1074425,22244823,63081.68871,48300.00221
Georgia,Southeast,South,762096,591869,10912876,69834.56973,54235.8403
Hawaii,Far West,West,99352,75695,1440196,68985.05481,52558.81838
Idaho,Rocky Mountain,West,110781,84114,1939033,57132.08594,43379.35455
Illinois,Great Lakes,Midwest,1041663,798476,12582032,82789.72745,63461.60938
Indiana,Great Lakes,Midwest,458796,351780,6833037,67143.7898,51482.23257
Iowa,Plains,Midwest,233468,177199,3200517,72946.96451,55365.74247
Kansas,Plains,Midwest,212742,164997,2937150,72431.43864,56175.88479
Kentucky,Southeast,South,262439,201214,4512310,58160.67602,44592.23768
Louisiana,Southeast,South,284650,217109,4590241,62011.99458,47297.95233
Maine,New England,North East,85187,64844,1385340,61491.76375,46807.28197
Maryland,Mideast,South,474424,369231,6164660,76958.66439,59894.78738
Massachusetts,New England,North East,693131,544117,6981974,99274.35994,77931.68522
Michigan,Great Lakes,Midwest,626680,490720,10034113,62454.94744,48905.16979
Minnesota,Plains,Midwest,450743,350741,5717184,78840.03733,61348.55901
Mississippi,Southeast,South,139867,104277,2940057,47572.88719,35467.67971
Missouri,Plains,Midwest,392935,300583,6177957,63602.74117,48654.11009
Montana,Rocky Mountain,West,65736,49773,1122867,58542.99752,44326.71011
Nebraska,Plains,Midwest,163886,123850,1967923,83278.66487,62934.37294
Nevada,Far West,West,218188,165742,3177772,68660.68428,52156.66826
New Hampshire,New England,North East,106049,82937,1395231,76008.20223,59443.20331
New Jersey,Mideast,North East,753042,583732,9261699,81307.11223,63026.44903
New Mexico,Southwest,West,123819,94739,2113344,58589.13646,44828.95354
New York,Mideast,North East,2070558,1568540,19677151,105226.5137,79713.77564
North Carolina,Southeast,South,735924,559516,10698973,68784.54596,52296.23441
North Dakota,Plains,Midwest,75169,53416,779261,96461.90429,68546.99517
Ohio,Great Lakes,Midwest,829594,639224,11756058,70567.36195,54374.0087
Oklahoma,Southwest,South,244906,191961,4019800,60924.92164,47753.86835
Oregon,Far West,West,301689,234942,4240137,71150.76706,55409.05872
Pennsylvania,Mideast,North East,931717,727016,12972008,71825.19468,56044.98548
Rhode Island,New England,North East,72055,55542,1093734,65879.82087,50782.0
South Carolina,Southeast,South,298961,226716,5282634,56593.16924,42917.22652
South Dakota,Plains,Midwest,68327,49864,909824,75099.14005,54806.20428
Tennessee,Southeast,South,480050,368614,7051339,68079.26835,52275.74507
Texas,Southwest,South,2402237,1888869,30029572,79995.71223,62900.29708
Utah,Rocky Mountain,West,250412,191926,3380800,74068.85944,56769.40369
Vermont,New England,North East,40943,31401,647064,63275.03925,48528.42995
Virginia,Southeast,South,654573,513355,8683619,75380.20726,59117.63287
Washington,Far West,West,731691,583581,7785786,93977.79492,74954.66739
West Virginia,Southeast,South,97404,71840,1775156,54870.67052,40469.68266
Wisconsin,Great Lakes,Midwest,404704,311356,5892539,68680.75035,52839.02236
Wyoming,Rocky Mountain,West,48336,36370,581381,83139.97189,62557.94393
