Country,ISO3,Total Change,Position,Year,GDP per capita (PPP)
Equatorial Guinea,GNQ,26.339617770559023,Top,1990,588.1626947
China,CHN,18.704356644120843,Top,1990,981.4192074
Myanmar,MMR,9.742100698744702,Top,1990,412.4167657
Vietnam,VNM,8.86056247111573,Top,1990,1184.12196
Laos,LAO,7.524000294939896,Top,1990,1011.338259
Burundi,BDI,0.2710517367810421,Bottom,1990,609.3716475
Gabon,GAB,0.2689220073913554,Bottom,1990,11959.5115
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1990,55168.25088
Congo Republic,COG,0.036121729837148626,Bottom,1990,3429.411702
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1990,83843.22468
Equatorial Guinea,GNQ,26.339617770559023,Top,1991,579.9220665
China,CHN,18.704356644120843,Top,1991,1093.566229
Myanmar,MMR,9.742100698744702,Top,1991,424.7256283
Vietnam,VNM,8.86056247111573,Top,1991,1269.694401
Laos,LAO,7.524000294939896,Top,1991,1060.287519
Burundi,BDI,0.2710517367810421,Bottom,1991,648.3308671
Gabon,GAB,0.2689220073913554,Bottom,1991,12769.40302
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1991,57099.02565
Congo Republic,COG,0.036121729837148626,Bottom,1991,3530.7864
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1991,82712.81391
Equatorial Guinea,GNQ,26.339617770559023,Top,1992,770.2240064
China,CHN,18.704356644120843,Top,1992,1262.025483
Myanmar,MMR,9.742100698744702,Top,1992,447.7683387
Vietnam,VNM,8.86056247111573,Top,1992,1382.001087
Laos,LAO,7.524000294939896,Top,1992,1113.652827
Burundi,BDI,0.2710517367810421,Bottom,1992,652.5122225
Gabon,GAB,0.2689220073913554,Bottom,1992,12321.91903
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1992,59512.9402
Congo Republic,COG,0.036121729837148626,Bottom,1992,3605.204166
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1992,82972.00615
Equatorial Guinea,GNQ,26.339617770559023,Top,1993,843.6666062
China,CHN,18.704356644120843,Top,1993,1454.491592
Myanmar,MMR,9.742100698744702,Top,1993,487.4759164
Vietnam,VNM,8.86056247111573,Top,1993,1499.160068
Laos,LAO,7.524000294939896,Top,1993,1175.451058
Burundi,BDI,0.2710517367810421,Bottom,1993,647.4770436
Gabon,GAB,0.2689220073913554,Bottom,1993,12767.9002
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1993,59542.96976
Congo Republic,COG,0.036121729837148626,Bottom,1993,3551.369266
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1993,81868.51165
Equatorial Guinea,GNQ,26.339617770559023,Top,1994,968.5347191
China,CHN,18.704356644120843,Top,1994,1660.34688
Myanmar,MMR,9.742100698744702,Top,1994,524.7495278
Vietnam,VNM,8.86056247111573,Top,1994,1636.064414
Laos,LAO,7.524000294939896,Top,1994,1265.379442
Burundi,BDI,0.2710517367810421,Bottom,1994,632.4249539
Gabon,GAB,0.2689220073913554,Bottom,1994,13175.70282
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1994,61175.54851
Congo Republic,COG,0.036121729837148626,Bottom,1994,3331.574917
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1994,85325.00584
Equatorial Guinea,GNQ,26.339617770559023,Top,1995,1118.76954
China,CHN,18.704356644120843,Top,1995,1860.525063
Myanmar,MMR,9.742100698744702,Top,1995,567.0716519
Vietnam,VNM,8.86056247111573,Top,1995,1798.52487
Laos,LAO,7.524000294939896,Top,1995,1349.221494
Burundi,BDI,0.2710517367810421,Bottom,1995,559.8362994
Gabon,GAB,0.2689220073913554,Bottom,1995,13764.21392
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1995,63693.09165
Congo Republic,COG,0.036121729837148626,Bottom,1995,3442.723743
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1995,88932.30078
Equatorial Guinea,GNQ,26.339617770559023,Top,1996,1826.64663
China,CHN,18.704356644120843,Top,1996,2060.8681
Myanmar,MMR,9.742100698744702,Top,1996,608.3619618
Vietnam,VNM,8.86056247111573,Top,1996,1970.788735
Laos,LAO,7.524000294939896,Top,1996,1435.188177
Burundi,BDI,0.2710517367810421,Bottom,1996,524.6810684
Gabon,GAB,0.2689220073913554,Bottom,1996,14162.83545
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1996,65179.13607
Congo Republic,COG,0.036121729837148626,Bottom,1996,3559.743487
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1996,90644.59112
Equatorial Guinea,GNQ,26.339617770559023,Top,1997,4468.470039
China,CHN,18.704356644120843,Top,1997,2266.728838
Myanmar,MMR,9.742100698744702,Top,1997,648.0113352
Vietnam,VNM,8.86056247111573,Top,1997,2136.500237
Laos,LAO,7.524000294939896,Top,1997,1527.965343
Burundi,BDI,0.2710517367810421,Bottom,1997,525.8317273
Gabon,GAB,0.2689220073913554,Bottom,1997,14856.69567
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1997,63863.7108
Congo Republic,COG,0.036121729837148626,Bottom,1997,3525.355378
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1997,93461.25054
Equatorial Guinea,GNQ,26.339617770559023,Top,1998,5378.460744
China,CHN,18.704356644120843,Top,1998,2448.482291
Myanmar,MMR,9.742100698744702,Top,1998,684.5910064
Vietnam,VNM,8.86056247111573,Top,1998,2253.395352
Laos,LAO,7.524000294939896,Top,1998,1576.958876
Burundi,BDI,0.2710517367810421,Bottom,1998,546.7198398
Gabon,GAB,0.2689220073913554,Bottom,1998,15160.58334
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1998,62830.2713
Congo Republic,COG,0.036121729837148626,Bottom,1998,3620.050855
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1998,89110.14439
Equatorial Guinea,GNQ,26.339617770559023,Top,1999,6589.357146
China,CHN,18.704356644120843,Top,1999,2650.178686
Myanmar,MMR,9.742100698744702,Top,1999,744.3107209
Vietnam,VNM,8.86056247111573,Top,1999,2363.732271
Laos,LAO,7.524000294939896,Top,1999,1686.09558
Burundi,BDI,0.2710517367810421,Bottom,1999,535.9623371
Gabon,GAB,0.2689220073913554,Bottom,1999,13651.86927
Brunei Darussalam,BRN,0.19734171822269683,Bottom,1999,64276.50059
Congo Republic,COG,0.036121729837148626,Bottom,1999,3482.032021
United Arab Emirates,ARE,-0.08628039662846607,Bottom,1999,87692.02493
Equatorial Guinea,GNQ,26.339617770559023,Top,2000,7617.720584
China,CHN,18.704356644120843,Top,2000,2917.24253
Myanmar,MMR,9.742100698744702,Top,2000,846.3641425
Vietnam,VNM,8.86056247111573,Top,2000,2552.682566
Laos,LAO,7.524000294939896,Top,2000,1793.783279
Burundi,BDI,0.2710517367810421,Bottom,2000,532.4259199
Gabon,GAB,0.2689220073913554,Bottom,2000,13352.07722
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2000,66212.60982
Congo Republic,COG,0.036121729837148626,Bottom,2000,3687.232246
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2000,94015.70919
Equatorial Guinea,GNQ,26.339617770559023,Top,2001,12119.46637
China,CHN,18.704356644120843,Top,2001,3208.229957
Myanmar,MMR,9.742100698744702,Top,2001,963.2530137
Vietnam,VNM,8.86056247111573,Top,2001,2743.48041
Laos,LAO,7.524000294939896,Top,2001,1908.464249
Burundi,BDI,0.2710517367810421,Bottom,2001,542.0301902
Gabon,GAB,0.2689220073913554,Bottom,2001,13585.23563
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2001,68169.50228
Congo Republic,COG,0.036121729837148626,Bottom,2001,3769.265332
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2001,92431.19149
Equatorial Guinea,GNQ,26.339617770559023,Top,2002,14024.49044
China,CHN,18.704356644120843,Top,2002,3532.081651
Myanmar,MMR,9.742100698744702,Top,2002,1081.810815
Vietnam,VNM,8.86056247111573,Top,2002,2932.062856
Laos,LAO,7.524000294939896,Top,2002,2021.288797
Burundi,BDI,0.2710517367810421,Bottom,2002,559.1123373
Gabon,GAB,0.2689220073913554,Bottom,2002,13402.50278
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2002,70522.90358
Congo Republic,COG,0.036121729837148626,Bottom,2002,3910.797434
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2002,91407.18412
Equatorial Guinea,GNQ,26.339617770559023,Top,2003,15563.06278
China,CHN,18.704356644120843,Top,2003,3938.730274
Myanmar,MMR,9.742100698744702,Top,2003,1234.626176
Vietnam,VNM,8.86056247111573,Top,2003,3163.509242
Laos,LAO,7.524000294939896,Top,2003,2154.35086
Burundi,BDI,0.2710517367810421,Bottom,2003,545.7755393
Gabon,GAB,0.2689220073913554,Bottom,2003,13602.07364
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2003,72627.3339
Congo Republic,COG,0.036121729837148626,Bottom,2003,3910.654111
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2003,96633.02264
Equatorial Guinea,GNQ,26.339617770559023,Top,2004,21074.61661
China,CHN,18.704356644120843,Top,2004,4427.131003
Myanmar,MMR,9.742100698744702,Top,2004,1428.782719
Vietnam,VNM,8.86056247111573,Top,2004,3457.79179
Laos,LAO,7.524000294939896,Top,2004,2320.560669
Burundi,BDI,0.2710517367810421,Bottom,2004,566.0916315
Gabon,GAB,0.2689220073913554,Bottom,2004,13679.33757
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2004,73618.9315
Congo Republic,COG,0.036121729837148626,Bottom,2004,4016.429446
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2004,103821.8314
Equatorial Guinea,GNQ,26.339617770559023,Top,2005,24249.87047
China,CHN,18.704356644120843,Top,2005,5056.404724
Myanmar,MMR,9.742100698744702,Top,2005,1659.971139
Vietnam,VNM,8.86056247111573,Top,2005,3797.045441
Laos,LAO,7.524000294939896,Top,2005,2526.295551
Burundi,BDI,0.2710517367810421,Bottom,2005,567.7007004
Gabon,GAB,0.2689220073913554,Bottom,2005,14076.1963
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2005,74921.41361
Congo Republic,COG,0.036121729837148626,Bottom,2005,4305.869938
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2005,104732.0537
Equatorial Guinea,GNQ,26.339617770559023,Top,2006,25714.15635
China,CHN,18.704356644120843,Top,2006,5842.778636
Myanmar,MMR,9.742100698744702,Top,2006,1924.228498
Vietnam,VNM,8.86056247111573,Top,2006,4146.951612
Laos,LAO,7.524000294939896,Top,2006,2784.178246
Burundi,BDI,0.2710517367810421,Bottom,2006,595.2055657
Gabon,GAB,0.2689220073913554,Bottom,2006,13688.58221
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2006,79312.33331
Congo Republic,COG,0.036121729837148626,Bottom,2006,4616.63511
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2006,103625.976
Equatorial Guinea,GNQ,26.339617770559023,Top,2007,29052.49128
China,CHN,18.704356644120843,Top,2007,6818.923409
Myanmar,MMR,9.742100698744702,Top,2007,2206.869227
Vietnam,VNM,8.86056247111573,Top,2007,4519.044628
Laos,LAO,7.524000294939896,Top,2007,3028.391352
Burundi,BDI,0.2710517367810421,Bottom,2007,609.5935955
Gabon,GAB,0.2689220073913554,Bottom,2007,14448.89441
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2007,80302.21993
Congo Republic,COG,0.036121729837148626,Bottom,2007,4267.756861
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2007,91608.32222
Equatorial Guinea,GNQ,26.339617770559023,Top,2008,33261.8694
China,CHN,18.704356644120843,Top,2008,7581.453513
Myanmar,MMR,9.742100698744702,Top,2008,2483.725489
Vietnam,VNM,8.86056247111573,Top,2008,4819.011148
Laos,LAO,7.524000294939896,Top,2008,3276.725191
Burundi,BDI,0.2710517367810421,Bottom,2008,625.2437396
Gabon,GAB,0.2689220073913554,Bottom,2008,13792.03
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2008,79040.28831
Congo Republic,COG,0.036121729837148626,Bottom,2008,4473.227068
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2008,80959.46072
Equatorial Guinea,GNQ,26.339617770559023,Top,2009,32341.28341
China,CHN,18.704356644120843,Top,2009,8305.760185
Myanmar,MMR,9.742100698744702,Top,2009,2743.731166
Vietnam,VNM,8.86056247111573,Top,2009,5059.341953
Laos,LAO,7.524000294939896,Top,2009,3491.586041
Burundi,BDI,0.2710517367810421,Bottom,2009,620.8967338
Gabon,GAB,0.2689220073913554,Bottom,2009,13448.29955
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2009,76993.47462
Congo Republic,COG,0.036121729837148626,Bottom,2009,4827.907091
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2009,67508.58601
Equatorial Guinea,GNQ,26.339617770559023,Top,2010,28424.51936
China,CHN,18.704356644120843,Top,2010,9254.779603
Myanmar,MMR,9.742100698744702,Top,2010,3033.085185
Vietnam,VNM,8.86056247111573,Top,2010,5391.168621
Laos,LAO,7.524000294939896,Top,2010,3778.153906
Burundi,BDI,0.2710517367810421,Bottom,2010,630.358193
Gabon,GAB,0.2689220073913554,Bottom,2010,14084.53803
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2010,78784.82722
Congo Republic,COG,0.036121729837148626,Bottom,2010,5152.51779
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2010,65411.94004
Equatorial Guinea,GNQ,26.339617770559023,Top,2011,29556.1131
China,CHN,18.704356644120843,Top,2011,10292.94048
Myanmar,MMR,9.742100698744702,Top,2011,3301.955191
Vietnam,VNM,8.86056247111573,Top,2011,5793.929381
Laos,LAO,7.524000294939896,Top,2011,4106.342233
Burundi,BDI,0.2710517367810421,Bottom,2011,646.1031275
Gabon,GAB,0.2689220073913554,Bottom,2011,14863.46234
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2011,82300.65605
Congo Republic,COG,0.036121729837148626,Bottom,2011,5204.000834
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2011,70619.31585
Equatorial Guinea,GNQ,26.339617770559023,Top,2012,32457.55078
China,CHN,18.704356644120843,Top,2012,11168.6973
Myanmar,MMR,9.742100698744702,Top,2012,3631.575333
Vietnam,VNM,8.86056247111573,Top,2012,6364.978023
Laos,LAO,7.524000294939896,Top,2012,4793.832899
Burundi,BDI,0.2710517367810421,Bottom,2012,651.9523273
Gabon,GAB,0.2689220073913554,Bottom,2012,14628.61588
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2012,86588.60952
Congo Republic,COG,0.036121729837148626,Bottom,2012,6062.822776
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2012,74853.5751
Equatorial Guinea,GNQ,26.339617770559023,Top,2013,30083.8921
China,CHN,18.704356644120843,Top,2013,11872.49738
Myanmar,MMR,9.742100698744702,Top,2013,3872.500709
Vietnam,VNM,8.86056247111573,Top,2013,6724.635498
Laos,LAO,7.524000294939896,Top,2013,5241.846002
Burundi,BDI,0.2710517367810421,Bottom,2013,696.4970002
Gabon,GAB,0.2689220073913554,Bottom,2013,14437.75973
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2013,82305.27625
Congo Republic,COG,0.036121729837148626,Bottom,2013,5810.922383
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2013,75877.99796
Equatorial Guinea,GNQ,26.339617770559023,Top,2014,29197.69173
China,CHN,18.704356644120843,Top,2014,12480.33853
Myanmar,MMR,9.742100698744702,Top,2014,4104.83876
Vietnam,VNM,8.86056247111573,Top,2014,7240.73594
Laos,LAO,7.524000294939896,Top,2014,5828.375007
Burundi,BDI,0.2710517367810421,Bottom,2014,728.8700603
Gabon,GAB,0.2689220073913554,Bottom,2014,14721.90115
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2014,80027.9853
Congo Republic,COG,0.036121729837148626,Bottom,2014,5681.772202
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2014,78859.08912
Equatorial Guinea,GNQ,26.339617770559023,Top,2015,20858.09644
China,CHN,18.704356644120843,Top,2015,12897.50229
Myanmar,MMR,9.742100698744702,Top,2015,4200.876849
Vietnam,VNM,8.86056247111573,Top,2015,7595.686738
Laos,LAO,7.524000294939896,Top,2015,6126.440613
Burundi,BDI,0.2710517367810421,Bottom,2015,797.0501141
Gabon,GAB,0.2689220073913554,Bottom,2015,14113.82767
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2015,61572.6217
Congo Republic,COG,0.036121729837148626,Bottom,2015,4448.916586
United Arab Emirates,ARE,-0.08628039662846607,Bottom,2015,69705.70486
Equatorial Guinea,GNQ,26.339617770559023,Top,2016,17771.5628
China,CHN,18.704356644120843,Top,2016,13483.37727
Myanmar,MMR,9.742100698744702,Top,2016,4120.737169
Vietnam,VNM,8.86056247111573,Top,2016,8277.684129
Laos,LAO,7.524000294939896,Top,2016,6798.360308
Burundi,BDI,0.2710517367810421,Bottom,2016,766.5872206
Gabon,GAB,0.2689220073913554,Bottom,2016,13749.83255
Brunei Darussalam,BRN,0.19734171822269683,Bottom,2016,55477.4694
Congo Republic,COG,0.036121729837148626,Bottom,2016,3687.580949
