Airport,latitude,longitude
London Heathrow,51.4700223,-0.4542955
London Stansted,51.8860181,0.2388661
London Gatwick,51.1536621,-0.1820629
Manchester,53.3554372,-2.2772979
London Luton,51.87626460000001,-0.3717471
Edinburgh,55.950785,-3.3614532
Birmingham,33.5624269,-86.754126
Belfast International,54.6556697,-6.2168638
Bristol,51.38363039999999,-2.7135463
Glasgow,55.8690744,-4.4350529
Liverpool,53.3373397,-2.8548269
Aberdeen,57.203715,-2.200215
Newcastle,55.0393457,-1.6931282
East Midlands,52.82937399999999,-1.332134
Belfast City,54.6176164,-5.871830399999999
Leeds Bradford,53.86794339999999,-1.6615306
London City,51.5048437,0.049518
Jersey,49.2074637,-2.1952207
Inverness,28.7991509,-82.3166353
Doncaster Sheffield,53.47782249999999,-1.0054727
Southampton,50.95147069999999,-1.3577199
Guernsey,49.434081,-2.5994887
Bournemouth,50.781039,-1.8409872
Sumburgh,59.8777809,-1.2890447
Isle of Man,54.0868317,-4.634236599999999
Exeter,50.7350407,-3.4153301
Norwich,52.6767172,1.2815223
Cardiff,51.3985166,-3.3396768
Newquay,50.4399636,-5.0088135
London Southend,51.57018979999999,0.6924653
Kirkwall,58.95373499999999,-2.9024693
Teesside,54.5093204,-1.4277816
Glasgow Prestwick,55.5098091,-4.592294
City of Derry,55.0396753,-7.1558125
St Mary's,38.3137702,-76.5509185
Stornoway,58.21387099999999,-6.3219232
Land's End,50.1023554,-5.6680518
Alderney,49.7069521,-2.215638
Humberside,53.57604540000001,-0.3496088
Benbecula,57.4740044,-7.371982399999998
