Age Range,Outcome,Gender,Datetime,Removal of more than outer clothing,Officer Defined Ethnicity,Object of Search,Latitude,Location,Longitude
over 34,A no further action disposal,Male,2022-09-13T23:00:00+00:00,False,White,Stolen goods,51.500967,On or near Webber Street,-0.104704
18-24,Arrest,Male,2022-09-30T19:15:00+00:00,,White,Controlled drugs,51.344670,On or near The Close,-0.109968
25-34,A no further action disposal,Male,2022-09-27T22:11:00+00:00,,White,Anything to threaten or harm anyone,51.375300,On or near Old Kingston Road,-0.275023
18-24,A no further action disposal,Male,2022-09-22T23:58:00+00:00,,Black,Anything to threaten or harm anyone,51.374626,On or near Ace Parade,-0.303942
25-34,A no further action disposal,Male,2022-09-06T23:07:00+00:00,,Asian,Anything to threaten or harm anyone,51.347856,On or near Burdon Lane,-0.207370
25-34,A no further action disposal,Male,2022-09-08T00:10:00+00:00,,Black,Anything to threaten or harm anyone,51.438860,On or near Twining Avenue,-0.353880
18-24,A no further action disposal,Female,2022-09-07T19:05:00+00:00,,White,Anything to threaten or harm anyone,51.377630,On or near Lansdowne Close,-0.279346
18-24,A no further action disposal,Male,2022-09-30T19:40:00+00:00,,White,Controlled drugs,51.345035,On or near ,-0.105889
25-34,A no further action disposal,Male,2022-09-06T22:53:00+00:00,,White,Anything to threaten or harm anyone,51.344406,On or near Northdown Road,-0.204087
over 34,A no further action disposal,Male,2022-09-07T07:40:00+00:00,,White,Anything to threaten or harm anyone,51.337398,On or near Leatherhead Road,-0.320262
10-17,A no further action disposal,Male,2022-09-02T23:55:00+00:00,,White,Anything to threaten or harm anyone,51.339777,On or near Rushlight Mews,-0.319399
over 34,A no further action disposal,Male,2022-09-15T17:20:00+00:00,,White,Anything to threaten or harm anyone,51.363558,On or near Field Close,-0.315929
18-24,A no further action disposal,Male,2022-09-19T15:29:00+00:00,,White,Anything to threaten or harm anyone,51.364078,On or near Frimley Road,-0.304016
25-34,A no further action disposal,Male,2022-09-19T20:16:00+00:00,,Asian,Anything to threaten or harm anyone,51.373653,On or near Kingston By-Pass,-0.289596
25-34,Arrest,Male,2022-09-02T11:09:00+00:00,,White,,51.610068,On or near Meadgate Avenue,0.055387
over 34,Arrest,Male,2022-09-29T12:09:00+00:00,,White,,51.614341,On or near Sterling Way (North Circular Road),-0.077394
10-17,A no further action disposal,Male,2022-09-25T16:09:00+00:00,,Black,,51.607410,On or near Copperfield,0.088758
10-17,A no further action disposal,Male,2022-09-13T16:09:00+00:00,,,,51.607448,On or near Limes Avenue,0.085121
25-34,Arrest,Male,2022-09-09T03:09:00+00:00,,White,,51.607212,On or near Keats Close,0.084734
over 34,A no further action disposal,Male,2022-09-16T09:52:00+00:00,False,White,Articles for use in criminal damage,51.495035,On or near ,-0.121114
,Arrest,Male,2022-09-17T08:15:00+00:00,False,White,Articles for use in criminal damage,51.500978,On or near Bridge Street,-0.125524
18-24,Arrest,Male,2022-09-06T18:47:00+00:00,False,,Controlled drugs,51.494430,On or near Hardinge Crescent,0.077870
18-24,A no further action disposal,Male,2022-09-06T18:53:00+00:00,False,White,Controlled drugs,51.494430,On or near Hardinge Crescent,0.077870
10-17,A no further action disposal,Male,2022-09-06T21:42:00+00:00,False,Asian,Stolen goods,51.608967,On or near Empire Parade,-0.085854
18-24,A no further action disposal,Male,2022-09-10T00:20:00+00:00,False,White,Controlled drugs,51.567585,On or near Oxford Drive,-0.392796
18-24,A no further action disposal,Male,2022-09-29T23:08:00+00:00,False,Other,Article for use in theft,51.620944,On or near Broadfields Heights,-0.274290
18-24,A no further action disposal,Male,2022-09-29T23:08:00+00:00,False,Asian,Article for use in theft,51.620944,On or near Broadfields Heights,-0.274290
