date,type,transactions
2019-01-31,Residential,3590
2019-01-31,Non-residential,440
2019-02-28,Residential,3870
2019-02-28,Non-residential,460
2019-03-31,Residential,4420
2019-03-31,Non-residential,670
2019-04-30,Residential,4020
2019-04-30,Non-residential,540
2019-05-31,Residential,4560
2019-05-31,Non-residential,530
2019-06-30,Residential,4670
2019-06-30,Non-residential,460
2019-07-31,Residential,5020
2019-07-31,Non-residential,600
2019-08-31,Residential,5270
2019-08-31,Non-residential,480
2019-09-30,Residential,4650
2019-09-30,Non-residential,500
2019-10-31,Residential,5060
2019-10-31,Non-residential,530
2019-11-30,Residential,5230
2019-11-30,Non-residential,470
2019-12-31,Residential,4900
2019-12-31,Non-residential,520
2020-01-31,Residential,3850
2020-01-31,Non-residential,540
2020-02-29,Residential,3940
2020-02-29,Non-residential,440
2020-03-31,Residential,4120
2020-03-31,Non-residential,570
2020-04-30,Residential,1760
2020-04-30,Non-residential,380
2020-05-31,Residential,1950
2020-05-31,Non-residential,270
2020-06-30,Residential,2580
2020-06-30,Non-residential,350
2020-07-31,Residential,3040
2020-07-31,Non-residential,450
2020-08-31,Residential,3240
2020-08-31,Non-residential,340
2020-09-30,Residential,3710
2020-09-30,Non-residential,430
2020-10-31,Residential,5310
2020-10-31,Non-residential,540
2020-11-30,Residential,5310
2020-11-30,Non-residential,440
2020-12-31,Residential,6200
2020-12-31,Non-residential,580
2021-01-31,Residential,3910
2021-01-31,Non-residential,390
2021-02-28,Residential,4790
2021-02-28,Non-residential,480
2021-03-31,Residential,6450
2021-03-31,Non-residential,690
2021-04-30,Residential,5120
2021-04-30,Non-residential,580
2021-05-31,Residential,4700
2021-05-31,Non-residential,500
2021-06-30,Residential,8110
2021-06-30,Non-residential,570
2021-07-31,Residential,4590
2021-07-31,Non-residential,540
2021-08-31,Residential,4990
2021-08-31,Non-residential,540
2021-09-30,Residential,5530
2021-09-30,Non-residential,550
2021-10-31,Residential,5300
2021-10-31,Non-residential,590
2021-11-30,Residential,5420
2021-11-30,Non-residential,560
2021-12-31,Residential,5250
2021-12-31,Non-residential,580
2022-01-31,Residential,3830
2022-01-31,Non-residential,460
2022-02-28,Residential,4440
2022-02-28,Non-residential,520
2022-03-31,Residential,4930
2022-03-31,Non-residential,690
2022-04-30,Residential,4430
2022-04-30,Non-residential,530
2022-05-31,Residential,4510
2022-05-31,Non-residential,560
2022-06-30,Residential,4290
2022-06-30,Non-residential,460
2022-07-31,Residential,4870
2022-07-31,Non-residential,490
2022-08-31,Residential,4910
2022-08-31,Non-residential,470
2022-09-30,Residential,4790
2022-09-30,Non-residential,480
