date,metric,index
2019-10-01,Value,101.1
2019-11-01,Value,100.8
2019-12-01,Value,99.2
2020-01-01,Value,101.3
2020-02-01,Value,100.9
2020-03-01,Value,109.3
2020-04-01,Value,106.2
2020-05-01,Value,107.5
2020-06-01,Value,107.4
2020-07-01,Value,103.6
2020-08-01,Value,104.7
2020-09-01,Value,105.7
2020-10-01,Value,104.9
2020-11-01,Value,106.9
2020-12-01,Value,103
2021-01-01,Value,106.1
2021-02-01,Value,108
2021-03-01,Value,109.1
2021-04-01,Value,108.7
2021-05-01,Value,103.6
2021-06-01,Value,108.3
2021-07-01,Value,105.6
2021-08-01,Value,105.2
2021-09-01,Value,105.3
2021-10-01,Value,106.5
2021-11-01,Value,106.6
2021-12-01,Value,107.6
2022-01-01,Value,105.1
2022-02-01,Value,105.9
2022-03-01,Value,106
2022-04-01,Value,107.2
2022-05-01,Value,106.6
2022-06-01,Value,111.5
2022-07-01,Value,112.3
2022-08-01,Value,112.1
2022-09-01,Value,111.6
2022-10-01,Value,111.9
2019-10-01,Volume,100.7
2019-11-01,Volume,100.3
2019-12-01,Volume,99
2020-01-01,Volume,100.8
2020-02-01,Volume,100.1
2020-03-01,Volume,109.2
2020-04-01,Volume,105.7
2020-05-01,Volume,106.4
2020-06-01,Volume,106.1
2020-07-01,Volume,102.4
2020-08-01,Volume,103.8
2020-09-01,Volume,105
2020-10-01,Volume,103.9
2020-11-01,Volume,106.6
2020-12-01,Volume,102.9
2021-01-01,Volume,105.9
2021-02-01,Volume,107.3
2021-03-01,Volume,109.3
2021-04-01,Volume,108.4
2021-05-01,Volume,102.4
2021-06-01,Volume,106.1
2021-07-01,Volume,103.9
2021-08-01,Volume,103
2021-09-01,Volume,102.8
2021-10-01,Volume,103.4
2021-11-01,Volume,103
2021-12-01,Volume,103.3
2022-01-01,Volume,100.6
2022-02-01,Volume,100.1
2022-03-01,Volume,100
2022-04-01,Volume,100
2022-05-01,Volume,97.3
2022-06-01,Volume,100.3
2022-07-01,Volume,99.6
2022-08-01,Volume,98.8
2022-09-01,Volume,96.9
2022-10-01,Volume,96
