store,date,value
Tesco,2022-11-27,27.2
Sainsbury's,2022-11-27,15.2
Asda,2022-11-27,14
Morrisons,2022-11-27,9
Aldi,2022-11-27,9.3
Lidl,2022-11-27,7.4
Co-op,2022-11-27,6
Waitrose,2022-11-27,4.5
Iceland,2022-11-27,2.3
Ocado,2022-11-27,1.7
Other Outlets,2022-11-27,1.9
Symbols & Independent,2022-11-27,1.5
Tesco,2020-03-22,26.8
Sainsbury's,2020-03-22,15.3
Asda,2020-03-22,15
Morrisons,2020-03-22,10
Aldi,2020-03-22,8.2
Lidl,2020-03-22,6.1
Co-op,2020-03-22,6.2
Waitrose,2020-03-22,5
Iceland,2020-03-22,2.2
Ocado,2020-03-22,1.5
Other Outlets,2020-03-22,1.9
Symbols & Independent,2020-03-22,1.9
