date,symbol,value,dash
2020-12-01,CPI All Items,100,TRUE
2021-01-01,CPI All Items,99.8,TRUE
2021-02-01,CPI All Items,99.9,TRUE
2021-03-01,CPI All Items,100.2,TRUE
2021-04-01,CPI All Items,100.9,TRUE
2021-05-01,CPI All Items,101.5,TRUE
2021-06-01,CPI All Items,102.0,TRUE
2021-07-01,CPI All Items,101.9,TRUE
2021-08-01,CPI All Items,102.7,TRUE
2021-09-01,CPI All Items,103.0,TRUE
2021-10-01,CPI All Items,104.1,TRUE
2021-11-01,CPI All Items,104.9,TRUE
2021-12-01,CPI All Items,105.4,TRUE
2022-01-01,CPI All Items,105.2,TRUE
2022-02-01,CPI All Items,106.1,TRUE
2022-03-01,CPI All Items,107.3,TRUE
2022-04-01,CPI All Items,110.0,TRUE
2022-05-01,CPI All Items,110.7,TRUE
2022-06-01,CPI All Items,111.6,TRUE
2022-07-01,CPI All Items,112.2,TRUE
2022-08-01,CPI All Items,112.8,TRUE
2022-09-01,CPI All Items,113.4,TRUE
2022-10-01,CPI All Items,115.6,TRUE
2020-12-01,Electricity,100,FALSE
2021-01-01,Electricity,100,FALSE
2021-02-01,Electricity,100,FALSE
2021-03-01,Electricity,100,FALSE
2021-04-01,Electricity,109.1,FALSE
2021-05-01,Electricity,109.1,FALSE
2021-06-01,Electricity,109.1,FALSE
2021-07-01,Electricity,109.3,FALSE
2021-08-01,Electricity,109.3,FALSE
2021-09-01,Electricity,109.3,FALSE
2021-10-01,Electricity,118.8,FALSE
2021-11-01,Electricity,118.8,FALSE
2021-12-01,Electricity,118.8,FALSE
2022-01-01,Electricity,119.2,FALSE
2022-02-01,Electricity,119.2,FALSE
2022-03-01,Electricity,119.2,FALSE
2022-04-01,Electricity,167.6,FALSE
2022-05-01,Electricity,167.6,FALSE
2022-06-01,Electricity,167.6,FALSE
2022-07-01,Electricity,168.3,FALSE
2022-08-01,Electricity,168.3,FALSE
2022-09-01,Electricity,168.3,FALSE
2022-10-01,Electricity,196.8,FALSE
2020-12-01,Gas,100,FALSE
2021-01-01,Gas,100,FALSE
2021-02-01,Gas,100,FALSE
2021-03-01,Gas,100,FALSE
2021-04-01,Gas,109.4,FALSE
2021-05-01,Gas,109.4,FALSE
2021-06-01,Gas,109.4,FALSE
2021-07-01,Gas,109.4,FALSE
2021-08-01,Gas,109.4,FALSE
2021-09-01,Gas,109.4,FALSE
2021-10-01,Gas,128.1,FALSE
2021-11-01,Gas,128.1,FALSE
2021-12-01,Gas,128.1,FALSE
2022-01-01,Gas,128.3,FALSE
2022-02-01,Gas,128.3,FALSE
2022-03-01,Gas,128.3,FALSE
2022-04-01,Gas,213.9,FALSE
2022-05-01,Gas,213.9,FALSE
2022-06-01,Gas,213.9,FALSE
2022-07-01,Gas,214.2,FALSE
2022-08-01,Gas,214.2,FALSE
2022-09-01,Gas,214.2,FALSE
2022-10-01,Gas,293.2,FALSE
2020-12-01,Liquid Fuels,100,FALSE
2021-01-01,Liquid Fuels,107.6,FALSE
2021-02-01,Liquid Fuels,115.7,FALSE
2021-03-01,Liquid Fuels,119.1,FALSE
2021-04-01,Liquid Fuels,113.8,FALSE
2021-05-01,Liquid Fuels,119.1,FALSE
2021-06-01,Liquid Fuels,122.8,FALSE
2021-07-01,Liquid Fuels,123.4,FALSE
2021-08-01,Liquid Fuels,121.9,FALSE
2021-09-01,Liquid Fuels,127.5,FALSE
2021-10-01,Liquid Fuels,151.4,FALSE
2021-11-01,Liquid Fuels,157.1,FALSE
2021-12-01,Liquid Fuels,152.2,FALSE
2022-01-01,Liquid Fuels,158.2,FALSE
2022-02-01,Liquid Fuels,176.9,FALSE
2022-03-01,Liquid Fuels,254.7,FALSE
2022-04-01,Liquid Fuels,243.5,FALSE
2022-05-01,Liquid Fuels,265.2,FALSE
2022-06-01,Liquid Fuels,281.2,FALSE
2022-07-01,Liquid Fuels,264.2,FALSE
2022-08-01,Liquid Fuels,227.1,FALSE
2022-09-01,Liquid Fuels,257.9,FALSE
2022-10-01,Liquid Fuels,257.5,FALSE
2020-12-01,Solid Fuels,100,FALSE
2021-01-01,Solid Fuels,100.1,FALSE
2021-02-01,Solid Fuels,99.9,FALSE
2021-03-01,Solid Fuels,100.0,FALSE
2021-04-01,Solid Fuels,100.2,FALSE
2021-05-01,Solid Fuels,100.0,FALSE
2021-06-01,Solid Fuels,100.3,FALSE
2021-07-01,Solid Fuels,100.3,FALSE
2021-08-01,Solid Fuels,100.2,FALSE
2021-09-01,Solid Fuels,100.7,FALSE
2021-10-01,Solid Fuels,101.8,FALSE
2021-11-01,Solid Fuels,102.2,FALSE
2021-12-01,Solid Fuels,105.0,FALSE
2022-01-01,Solid Fuels,105.6,FALSE
2022-02-01,Solid Fuels,107.5,FALSE
2022-03-01,Solid Fuels,111.3,FALSE
2022-04-01,Solid Fuels,113.5,FALSE
2022-05-01,Solid Fuels,116.7,FALSE
2022-06-01,Solid Fuels,122.7,FALSE
2022-07-01,Solid Fuels,127.3,FALSE
2022-08-01,Solid Fuels,130.1,FALSE
2022-09-01,Solid Fuels,132.7,FALSE
2022-10-01,Solid Fuels,138.9,FALSE
2020-12-01,Fuels & Lubricants,100,FALSE
2021-01-01,Fuels & Lubricants,102.1,FALSE
2021-02-01,Fuels & Lubricants,105.1,FALSE
2021-03-01,Fuels & Lubricants,108.1,FALSE
2021-04-01,Fuels & Lubricants,109.5,FALSE
