date,metric,value
2009 Q4,Fixed rate,49.67
2010 Q1,Fixed rate,37.39
2010 Q2,Fixed rate,39.13
2010 Q3,Fixed rate,43.53
2010 Q4,Fixed rate,45.93
2011 Q1,Fixed rate,51.23
2011 Q2,Fixed rate,56.06
2011 Q3,Fixed rate,51.71
2011 Q4,Fixed rate,53.59
2012 Q1,Fixed rate,55.07
2012 Q2,Fixed rate,56.40
2012 Q3,Fixed rate,55.98
2012 Q4,Fixed rate,63.55
2013 Q1,Fixed rate,70.69
2013 Q2,Fixed rate,75.27
2013 Q3,Fixed rate,77.32
2013 Q4,Fixed rate,80.26
2014 Q1,Fixed rate,80.99
2014 Q2,Fixed rate,81.95
2014 Q3,Fixed rate,82.55
2014 Q4,Fixed rate,82.21
2015 Q1,Fixed rate,77.61
2015 Q2,Fixed rate,78.90
2015 Q3,Fixed rate,80.67
2015 Q4,Fixed rate,84.09
2016 Q1,Fixed rate,81.43
2016 Q2,Fixed rate,82.27
2016 Q3,Fixed rate,82.28
2016 Q4,Fixed rate,81.26
2017 Q1,Fixed rate,84.72
2017 Q2,Fixed rate,87.94
2017 Q3,Fixed rate,89.34
2017 Q4,Fixed rate,90.22
2018 Q1,Fixed rate,90.56
2018 Q2,Fixed rate,91.59
2018 Q3,Fixed rate,90.57
2018 Q4,Fixed rate,91.90
2019 Q1,Fixed rate,91.84
2019 Q2,Fixed rate,92.19
2019 Q3,Fixed rate,91.74
2019 Q4,Fixed rate,92.43
2020 Q1,Fixed rate,91.91
2020 Q2,Fixed rate,90.42
2020 Q3,Fixed rate,91.20
2020 Q4,Fixed rate,92.44
2021 Q1,Fixed rate,92.44
2021 Q2,Fixed rate,93.51
2021 Q3,Fixed rate,94.14
2021 Q4,Fixed rate,94.40
2022 Q1,Fixed rate,94.35
2022 Q2,Fixed rate,95.55
2009 Q4,Variable rate,50.33
2010 Q1,Variable rate,62.61
2010 Q2,Variable rate,60.87
2010 Q3,Variable rate,56.47
2010 Q4,Variable rate,54.07
2011 Q1,Variable rate,48.77
2011 Q2,Variable rate,43.94
2011 Q3,Variable rate,48.29
2011 Q4,Variable rate,46.41
2012 Q1,Variable rate,44.93
2012 Q2,Variable rate,43.61
2012 Q3,Variable rate,44.02
2012 Q4,Variable rate,36.45
2013 Q1,Variable rate,29.31
2013 Q2,Variable rate,24.73
2013 Q3,Variable rate,22.68
2013 Q4,Variable rate,19.74
2014 Q1,Variable rate,19.01
2014 Q2,Variable rate,18.06
2014 Q3,Variable rate,17.45
2014 Q4,Variable rate,17.79
2015 Q1,Variable rate,22.39
2015 Q2,Variable rate,21.10
2015 Q3,Variable rate,19.34
2015 Q4,Variable rate,15.91
2016 Q1,Variable rate,18.57
2016 Q2,Variable rate,17.73
2016 Q3,Variable rate,17.72
2016 Q4,Variable rate,18.74
2017 Q1,Variable rate,15.29
2017 Q2,Variable rate,12.06
2017 Q3,Variable rate,10.66
2017 Q4,Variable rate,9.78
2018 Q1,Variable rate,9.44
2018 Q2,Variable rate,8.41
2018 Q3,Variable rate,9.43
2018 Q4,Variable rate,8.10
2019 Q1,Variable rate,8.16
2019 Q2,Variable rate,7.81
2019 Q3,Variable rate,8.26
2019 Q4,Variable rate,7.57
2020 Q1,Variable rate,8.09
2020 Q2,Variable rate,9.59
2020 Q3,Variable rate,8.80
2020 Q4,Variable rate,7.56
2021 Q1,Variable rate,7.56
2021 Q2,Variable rate,6.49
2021 Q3,Variable rate,5.86
2021 Q4,Variable rate,5.60
2022 Q1,Variable rate,5.65
2022 Q2,Variable rate,4.45
