Date,Region,Private Enterprise,Housing Associations,Local Authorities,Completed
01/01/1990,North East,"1,310",180,80,"1,570"
01/04/1990,North East,"1,720",250,10,"1,980"
01/07/1990,North East,"1,250",170,50,"1,470"
01/10/1990,North East,"1,790",290,40,"2,120"
01/01/1991,North East,"1,080",210,10,"1,310"
01/04/1991,North East,"1,450",310,30,"1,780"
01/07/1991,North East,"1,390",220,20,"1,640"
01/10/1991,North East,"1,490",280,80,"1,850"
01/01/1992,North East,"1,020",320,20,"1,350"
01/04/1992,North East,"1,270",370,0,"1,640"
01/07/1992,North East,"1,210",360,10,"1,590"
01/10/1992,North East,"1,510",510,20,"2,030"
01/01/1993,North East,970,250,10,"1,230"
01/04/1993,North East,"1,180",490,10,"1,680"
01/07/1993,North East,"1,230",340,10,"1,580"
01/10/1993,North East,"1,350",390,10,"1,740"
01/01/1994,North East,"1,000",290,10,"1,310"
01/04/1994,North East,"1,270",250,0,"1,520"
01/07/1994,North East,"1,570",260,10,"1,830"
01/10/1994,North East,"1,670",450,10,"2,130"
01/01/1995,North East,"1,530",400,10,"1,930"
01/04/1995,North East,"1,600",420,10,"2,030"
01/07/1995,North East,"1,460",180,10,"1,650"
01/10/1995,North East,"1,370",270,0,"1,640"
01/01/1996,North East,"1,270",220,0,"1,500"
01/04/1996,North East,"1,550",190,0,"1,740"
01/07/1996,North East,"1,560",320,0,"1,890"
01/10/1996,North East,"1,510",340,40,"1,880"
01/01/1997,North East,"1,480",180,0,"1,660"
01/04/1997,North East,"1,620",250,0,"1,870"
01/07/1997,North East,"1,600",210,10,"1,820"
01/10/1997,North East,"1,840",190,0,"2,020"
01/01/1998,North East,"1,620",260,0,"1,880"
01/04/1998,North East,"1,540",140,10,"1,680"
01/07/1998,North East,"1,450",180,0,"1,630"
01/10/1998,North East,"1,630",190,0,"1,820"
01/01/1999,North East,"1,260",160,0,"1,420"
01/04/1999,North East,"1,590",150,0,"1,730"
01/07/1999,North East,"1,630",80,0,"1,700"
01/10/1999,North East,"1,910",340,0,"2,250"
01/01/2000,North East,"1,280",230,0,"1,510"
01/04/2000,North East,"1,530",120,0,"1,650"
01/07/2000,North East,"1,680",100,0,"1,780"
01/10/2000,North East,"1,550",150,0,"1,700"
01/01/2001,North East,"1,230",280,0,"1,510"
01/04/2001,North East,"1,430",200,0,"1,640"
01/07/2001,North East,"1,440",100,0,"1,550"
01/10/2001,North East,"1,670",170,0,"1,840"
01/01/2002,North East,"1,370",40,0,"1,410"
01/04/2002,North East,"1,330",20,0,"1,340"
01/07/2002,North East,"1,230",20,0,"1,240"
01/10/2002,North East,"1,720",10,0,"1,730"
01/01/2003,North East,"1,230",60,0,"1,300"
01/04/2003,North East,"1,360",40,20,"1,420"
01/07/2003,North East,"1,260",60,0,"1,320"
01/10/2003,North East,"1,820",80,0,"1,900"
01/01/2004,North East,"1,150",150,0,"1,300"
01/04/2004,North East,"1,770",100,0,"1,870"
01/07/2004,North East,"1,560",100,0,"1,660"
01/10/2004,North East,"1,760",120,0,"1,880"
01/01/2005,North East,"1,550",180,0,"1,730"
01/04/2005,North East,"1,740",140,0,"1,880"
01/07/2005,North East,"1,740",90,0,"1,830"
01/10/2005,North East,"2,140",80,0,"2,220"
01/01/2006,North East,"1,520",100,90,"1,710"
01/04/2006,North East,"1,850",200,40,"2,090"
01/07/2006,North East,"1,430",140,30,"1,600"
01/10/2006,North East,"2,110",60,50,"2,220"
01/01/2007,North East,"2,110",70,70,"2,240"
01/04/2007,North East,"2,320",60,0,"2,380"
01/07/2007,North East,"1,670",70,0,"1,730"
01/10/2007,North East,"2,470",100,0,"2,570"
01/01/2008,North East,"1,250",200,0,"1,440"
01/04/2008,North East,"1,160",140,10,"1,310"
01/07/2008,North East,970,110,0,"1,080"
01/10/2008,North East,"1,150",170,0,"1,330"
01/01/2009,North East,740,240,0,980
01/04/2009,North East,790,200,10,"1,000"
01/07/2009,North East,880,260,0,"1,140"
01/10/2009,North East,"1,230",140,0,"1,370"
01/01/2010,North East,800,240,0,"1,040"
01/04/2010,North East,970,240,0,"1,210"
01/07/2010,North East,850,140,10,"1,000"
01/10/2010,North East,"1,040",200,20,"1,260"
01/01/2011,North East,850,290,20,"1,170"
01/04/2011,North East,920,180,40,"1,140"
01/07/2011,North East,940,150,80,"1,170"
01/10/2011,North East,"1,010",360,320,"1,680"
01/01/2012,North East,"1,080",160,0,"1,240"
01/04/2012,North East,960,150,70,"1,190"
01/07/2012,North East,750,200,110,"1,060"
01/10/2012,North East,"1,140",90,110,"1,340"
01/01/2013,North East,780,160,40,980
01/04/2013,North East,"1,060",70,100,"1,230"
01/07/2013,North East,760,100,40,910
01/10/2013,North East,"1,160",200,80,"1,440"
01/01/2014,North East,"1,010",170,60,"1,240"
01/04/2014,North East,"1,180",150,110,"1,440"
01/07/2014,North East,"1,090",250,90,"1,430"
01/10/2014,North East,"1,220",250,190,"1,660"
01/01/2015,North East,"1,630",540,120,"2,290"
01/04/2015,North East,"1,480",170,110,"1,760"
01/07/2015,North East,"1,150",160,80,"1,390"
01/10/2015,North East,"1,510",200,80,"1,780"
01/01/2016,North East,"1,390",230,60,"1,680"
01/04/2016,North East,"1,400",220,50,"1,670"
01/07/2016,North East,"1,330",140,0,"1,480"
01/10/2016,North East,"1,530",280,30,"1,840"
01/01/2017,North East,"1,540",160,0,"1,700"
01/04/2017,North East,"2,090",230,140,"2,460"
01/07/2017,North East,"1,930",190,10,"2,130"
01/10/2017,North East,"1,850",190,0,"2,040"
01/01/2018,North East,"1,240",190,10,"1,440"
01/04/2018,North East,"1,890",250,40,"2,180"
01/07/2018,North East,"1,650",340,50,"2,040"
01/10/2018,North East,"2,010",210,90,"2,300"
01/01/2019,North East,"2,270",160,80,"2,510"
01/04/2019,North East,"1,990",110,40,"2,140"
01/07/2019,North East,"1,780",160,10,"1,950"
01/10/2019,North East,"1,960",190,40,"2,190"
01/01/2020,North East,"1,630",240,20,"1,890"
01/04/2020,North East,590,40,20,650
01/07/2020,North East,"1,650",170,30,"1,860"
01/10/2020,North East,"2,160",390,0,"2,550"
01/01/2021,North East,"1,870",160,80,"2,110"
01/04/2021,North East,"1,680",170,20,"1,870"
01/07/2021,North East,"1,700",230,60,"1,990"
01/10/2021,North East,"2,240",230,50,"2,520"
01/01/1990,North West,"4,060",540,190,"4,790"
01/04/1990,North West,"3,690",650,230,"4,570"
01/07/1990,North West,"3,830",480,230,"4,540"
01/10/1990,North West,"4,350",800,190,"5,340"
01/01/1991,North West,"3,490",850,160,"4,500"
01/04/1991,North West,"3,630",840,190,"4,670"
01/07/1991,North West,"4,170",670,20,"4,860"
01/10/1991,North West,"4,090",600,110,"4,800"
01/01/1992,North West,"3,760",590,90,"4,440"
01/04/1992,North West,"3,850",760,70,"4,680"
01/07/1992,North West,"3,710",730,10,"4,450"
01/10/1992,North West,"4,020","1,120",0,"5,140"
01/01/1993,North West,"3,510","1,290",20,"4,820"
01/04/1993,North West,"4,120","1,160",20,"5,290"
01/07/1993,North West,"3,780",950,10,"4,740"
01/10/1993,North West,"3,870","1,290",0,"5,160"
01/01/1994,North West,"3,260","1,380",0,"4,640"
01/04/1994,North West,"3,650","1,220",10,"4,880"
01/07/1994,North West,"4,290","1,200",50,"5,530"
01/10/1994,North West,"4,440",960,0,"5,400"
01/01/1995,North West,"4,140","1,090",0,"5,230"
01/04/1995,North West,"4,110","1,220",0,"5,330"
01/07/1995,North West,"3,640",890,0,"4,530"
01/10/1995,North West,"4,110","1,380",0,"5,490"
01/01/1996,North West,"3,800","1,350",0,"5,150"
01/04/1996,North West,"3,700","1,090",0,"4,790"
01/07/1996,North West,"4,040","1,100",0,"5,140"
