Technology,Year,5th percentile,Weighted average,95th percentile,Cumulative capacity MW,Net additions MW,LCOE_units,cumCapacity_units,netAdditions_units
Solar photovoltaic,2010,0.208,0.417,0.521,40338,17493,0.417 $/kWh,40338 MW,17493 MW
Solar photovoltaic,2011,0.175,0.311,0.518,72216,31878,0.311 $/kWh,72216 MW,31878 MW
Solar photovoltaic,2012,0.140,0.233,0.416,101745,29529,0.233 $/kWh,101745 MW,29529 MW
Solar photovoltaic,2013,0.122,0.179,0.375,137227,35482,0.179 $/kWh,137227 MW,35482 MW
Solar photovoltaic,2014,0.099,0.161,0.357,175617,38390,0.161 $/kWh,175617 MW,38390 MW
Solar photovoltaic,2015,0.079,0.121,0.286,223204,47586,0.121 $/kWh,223204 MW,47586 MW
Solar photovoltaic,2016,0.073,0.106,0.241,295229,72025,0.106 $/kWh,295229 MW,72025 MW
Solar photovoltaic,2017,0.053,0.084,0.210,390207,94978,0.084 $/kWh,390207 MW,94978 MW
Solar photovoltaic,2018,0.048,0.071,0.194,483012,92805,0.071 $/kWh,483012 MW,92805 MW
Solar photovoltaic,2019,0.046,0.062,0.165,584686,101674,0.062 $/kWh,584686 MW,101674 MW
Solar photovoltaic,2020,0.038,0.055,0.162,710281,125595,0.055 $/kWh,710281 MW,125595 MW
Solar photovoltaic,2021,0.029,0.048,0.120,843086,132805,0.048 $/kWh,843086 MW,132805 MW
Onshore wind,2010,0.067,0.102,0.140,177796,29809,0.102 $/kWh,177796 MW,29809 MW
Onshore wind,2011,0.068,0.096,0.145,216346,38550,0.096 $/kWh,216346 MW,38550 MW
Onshore wind,2012,0.066,0.088,0.121,261584,45238,0.088 $/kWh,261584 MW,45238 MW
Onshore wind,2013,0.062,0.089,0.124,292668,31085,0.089 $/kWh,292668 MW,31085 MW
Onshore wind,2014,0.057,0.080,0.125,340815,48146,0.080 $/kWh,340815 MW,48146 MW
Onshore wind,2015,0.046,0.069,0.129,404453,63638,0.069 $/kWh,404453 MW,63638 MW
Onshore wind,2016,0.041,0.064,0.109,452524,48072,0.064 $/kWh,452524 MW,48072 MW
Onshore wind,2017,0.036,0.060,0.108,495378,42854,0.060 $/kWh,495378 MW,42854 MW
Onshore wind,2018,0.032,0.051,0.087,539840,44462,0.051 $/kWh,539840 MW,44462 MW
Onshore wind,2019,0.030,0.045,0.092,592888,53048,0.045 $/kWh,592888 MW,53048 MW
Onshore wind,2020,0.025,0.039,0.079,697401,104513,0.039 $/kWh,697401 MW,104513 MW
Onshore wind,2021,0.020,0.033,0.064,769196,71794,0.033 $/kWh,769196 MW,71794 MW
Offshore wind,2010,0.112,0.188,0.307,3056,922,0.188 $/kWh,3056 MW,922 MW
Offshore wind,2011,0.108,0.196,0.246,3776,720,0.196 $/kWh,3776 MW,720 MW
Offshore wind,2012,0.114,0.167,0.232,5334,1558,0.167 $/kWh,5334 MW,1558 MW
Offshore wind,2013,0.092,0.141,0.203,7171,1837,0.141 $/kWh,7171 MW,1837 MW
Offshore wind,2014,0.131,0.172,0.201,8492,1321,0.172 $/kWh,8492 MW,1321 MW
Offshore wind,2015,0.104,0.141,0.176,11717,3225,0.141 $/kWh,11717 MW,3225 MW
Offshore wind,2016,0.100,0.116,0.339,14342,2624,0.116 $/kWh,14342 MW,2624 MW
Offshore wind,2017,0.092,0.106,0.151,18837,4495,0.106 $/kWh,18837 MW,4495 MW
Offshore wind,2018,0.068,0.100,0.210,23626,4789,0.100 $/kWh,23626 MW,4789 MW
Offshore wind,2019,0.066,0.086,0.119,28382,4756,0.086 $/kWh,28382 MW,4756 MW
Offshore wind,2020,0.077,0.086,0.256,34362,5980,0.086 $/kWh,34362 MW,5980 MW
Offshore wind,2021,0.054,0.075,0.127,55678,21317,0.075 $/kWh,55678 MW,21317 MW
Solar concentrating,2010,0.274,0.358,0.406,1266,501,0.358 $/kWh,1266 MW,501 MW
Solar concentrating,2011,0.252,0.347,0.473,1705,439,0.347 $/kWh,1705 MW,439 MW
