Country,ISO3,Year,Openness,Manufacturing employment (% of total),Population,Continent,Sources
Argentina,ARG,2020,13.60892749,12.5,45376763.0,America,https://ourworldindata.org/grapher/manufacturing-share-of-total-employment
Armenia,ARM,2020,39.72382062,10.1,2805608.0,Asia,https://data.worldbank.org/indicator/NE.IMP.GNFS.ZS
Australia,AUS,2021,17.7948769,6.9,25688079.0,Oceania,https://data.worldbank.org/indicator/SP.POP.TOTL
Austria,AUT,2020,48.61081631,15.6,8916864.0,Europe,
Azerbaijan,AZE,2020,36.39431178,5.3,10093121.0,Asia,
Barbados,BRB,2019,37.97060619,6.0,280180.0,America,
Belarus,BLR,2020,57.92173443,17.8,9379952.0,Europe,
Belgium,BEL,2020,77.73398346,12.3,11538604.0,Europe,
Belize,BLZ,2019,49.67928823,8.0,389095.0,America,
Bolivia,BOL,2020,25.23067282,8.8,11936162.0,America,
Bosnia and Herzegovina,BIH,2020,48.59095292,18.9,3318407.0,Europe,
Botswana,BWA,2020,46.46695886,6.9,2546402.0,Africa,
Brazil,BRA,2020,16.09538367,11.7,213196304.0,America,
Bulgaria,BGR,2020,54.16092924,18.5,6934015.0,Europe,
Cambodia,KHM,2019,62.46522725,16.7,16207746.0,Asia,
Canada,CAN,2021,30.63796538,9.2,38246108.0,America,
Chile,CHL,2021,32.5414357,10.0,19493184.0,America,
Colombia,COL,2020,20.4133495,11.1,50930662.0,America,
Costa Rica,CRI,2021,34.47457284,10.5,5153957.0,America,
Croatia,HRV,2020,48.50338549,17.7,4047680.0,Europe,
Cyprus,CYP,2020,82.76696163,7.6,1237537.0,Asia,
Czechia,CZE,2020,63.19954823,26.7,10697858.0,Europe,
Denmark,DNK,2020,48.5826383,11.3,5831404.0,Europe,
Dominican Republic,DOM,2020,25.99795939,10.5,10999664.0,America,
Ecuador,ECU,2021,25.19764403,9.9,17797737.0,America,
El Salvador,SLV,2020,43.82197303,16.1,6292731.0,America,
Estonia,EST,2020,69.19247571,18.1,1329522.0,Europe,
Finland,FIN,2020,35.71035485,13.0,5529543.0,Europe,
France,FRA,2020,29.41359525,11.5,67571107.0,Europe,
Georgia,GEO,2020,56.58430343,8.1,3722716.0,Asia,
Germany,DEU,2020,37.38517603,19.9,83160871.0,Europe,
Greece,GRC,2020,39.68239577,9.6,10698599.0,Europe,
Guatemala,GTM,2019,27.90544497,11.7,16604026.0,America,
Honduras,HND,2020,50.52482903,16.2,10121763.0,America,
Hungary,HUN,2020,76.79978656,21.6,9750149.0,Europe,
