GSScode,name,winner_2019,rqf4_rate,activity_rate,employment_rate,activity_rate_quintile,employment_rate_quintile,rqf4_rate_quintile,has_co-operative,has_iceland,has_lidl,has_marks and spencer,has_morrisons,has_sainsburys,has_tesco,has_waitrose,Con_win
W07000081,Aberafan Maesteg,Lab,30.2,70.3,67.8,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Lowest Quintile (<35.3%),True,True,True,False,True,False,True,False,False
S14000060,Aberdeen North,SNP,58.7,79.2,75.9,Third Quintile (77.5%-80.6%),Third Quintile (74.7%-78.2%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
S14000061,Aberdeen South,SNP,63.7,77.5,73.5,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,True,True,True,True,True,False,False
S14000062,Aberdeenshire North & Moray East,Con,39.0,66.7,64.3,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Second Quintile (35.3%-42.3%),True,True,True,False,True,False,True,False,True
S14000111,Aberdeenshire West & Kincardine,Con,53.0,90.4,90.4,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Fourth Quintile (48.3%-57.9%),,,,,,,,,True
S14000063,Airdrie & Shotts,SNP,46.9,73.7,73.7,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,False,True,False,False
E14001063,Aldershot,Con,43.3,86.6,86.6,Highest Quintile (84.2%+),Highest Quintile (81.9%+),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,True,True
E14001064,Aldridge-Brownhills,Con,36.5,85.8,80.5,Highest Quintile (84.2%+),Fourth Quintile (78.2%-81.9%),Second Quintile (35.3%-42.3%),True,True,False,True,True,False,True,True,True
S14000064,Alloa & Grangemouth,SNP,43.7,75.5,71.1,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001065,Altrincham & Sale West,Con,62.1,76.8,73.3,Second Quintile (73.6%-77.5%),Second Quintile (70.0%-74.7%),Highest Quintile (57.9%+),True,True,False,True,True,True,True,True,True
W07000082,Alyn & Deeside,Lab,43.6,83.6,81.3,Fourth Quintile (80.6%-84.2%),Fourth Quintile (78.2%-81.9%),Third Quintile (42.3%-48.3%),True,True,True,True,True,True,True,False,False
E14001066,Amber Valley,Con,32.2,76.8,74.9,Second Quintile (73.6%-77.5%),Third Quintile (74.7%-78.2%),Lowest Quintile (<35.3%),True,True,True,False,True,True,True,False,True
S14000065,Angus & Perthshire Glens,SNP,50.8,68.9,67.3,Lowest Quintile (<73.6%),Lowest Quintile (<70.0%),Fourth Quintile (48.3%-57.9%),True,False,True,False,False,True,True,False,False
N05000005,Antrim East,DUP,,,,,,,False,True,True,True,False,True,True,False,False
N05000012,Antrim North,DUP,,,,,,,True,True,True,True,False,True,True,False,False
N05000014,Antrim South,DUP,,,,,,,True,True,True,True,False,False,True,False,False
