areaCode,areaName,areaType,date,age,VaccineRegisterPopulationByVaccinationDate,cumPeopleVaccinatedCompleteByVaccinationDate,newPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,newPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate,newPeopleVaccinatedSecondDoseByVaccinationDate,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationCompleteCoverageByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage
E92000001,England,nation,2021-10-16,12_15,2853951.0,8646.0,0.0,427033.0,1.0,8646.0,0.0,15.0,0.3,0.3
E92000001,England,nation,2021-10-16,16_17,1362878.0,243004.0,0.0,780074.0,0.0,243004.0,0.0,57.2,17.8,17.8
E92000001,England,nation,2021-10-16,18_24,5347222.0,2979698.0,0.0,3553467.0,0.0,2979698.0,0.0,66.5,55.7,55.7
E92000001,England,nation,2021-10-16,25_29,4508951.0,2549063.0,0.0,2916437.0,0.0,2549063.0,0.0,64.7,56.5,56.5
E92000001,England,nation,2021-10-16,30_34,4795390.0,2890161.0,0.0,3214597.0,0.0,2890161.0,0.0,67.0,60.3,60.3
E92000001,England,nation,2021-10-16,35_39,4540923.0,2992329.0,0.0,3239339.0,0.0,2992329.0,0.0,71.3,65.9,65.9
E92000001,England,nation,2021-10-16,40_44,4146831.0,3001007.0,0.0,3181257.0,0.0,3001007.0,0.0,76.7,72.4,72.4
E92000001,England,nation,2021-10-16,45_49,4015713.0,3162203.0,0.0,3300604.0,0.0,3162203.0,0.0,82.2,78.7,78.7
E92000001,England,nation,2021-10-16,50_54,4235812.0,3556198.0,0.0,3668149.0,0.0,3556198.0,0.0,86.6,84.0,84.0
E92000001,England,nation,2021-10-16,55_59,4082028.0,3528771.0,0.0,3630307.0,0.0,3528771.0,0.0,88.9,86.4,86.4
E92000001,England,nation,2021-10-16,60_64,3451652.0,3054813.0,0.0,3129530.0,0.0,3054813.0,0.0,90.7,88.5,88.5
E92000001,England,nation,2021-10-16,65_69,2886997.0,2632444.0,0.0,2670448.0,0.0,2632444.0,0.0,92.5,91.2,91.2
E92000001,England,nation,2021-10-16,70_74,2861653.0,2679236.0,0.0,2707189.0,0.0,2679236.0,0.0,94.6,93.6,93.6
E92000001,England,nation,2021-10-16,75_79,2062779.0,1953075.0,0.0,1971681.0,0.0,1953075.0,0.0,95.6,94.7,94.7
E92000001,England,nation,2021-10-16,80_84,1417462.0,1341099.0,0.0,1356366.0,0.0,1341099.0,0.0,95.7,94.6,94.6
E92000001,England,nation,2021-10-16,85_89,846853.0,799361.0,0.0,810327.0,0.0,799361.0,0.0,95.7,94.4,94.4
