Third Level Statistical Building Block (Middle-Layer Super Output Area) codes mapping to POLAR4,,,,,
,,,,,
This dataset was published by the Office for Students in September 2020 and provides a look-up between 2011 MSOA areas and their POLAR4 quintiles and participation rates.,,,,,
Note the data in this dataset is identical to the POLAR4 dataset published in September 2018 except Northern Ireland populations and participation rates have been suppressed and all populations have been rounded to the nearest 5 people. ,,,,,
Northern Ireland data was suppressed at the request of the Northern Ireland Department for the Economy to remove the risk of identification of individuals.,,,,,
,,,,,
The map associated with this dataset can be found here:,,,,,
https://www.officeforstudents.org.uk/data-and-analysis/young-participation-by-area/maps-of-participation-in-higher-education/,,,,,
,,,,,
This dataset was originally published here:,,,,,
https://www.officeforstudents.org.uk/data-and-analysis/young-participation-by-area/get-the-area-based-measures-data/,,,,,
,,,,,
Further information on how POLAR4 was calculated can be found here: ,,,,,
https://www.officeforstudents.org.uk/data-and-analysis/young-participation-by-area/about-polar/ ,,,,,
,,,,,
This data constitutes official statistics.,,,,,
,,,,,
,,,,,
Country:,The country in which the area is located.,,,,
MSOA:,"2011 Middle-Layer Super Output Areas in England and Wales, 2001 Intermediate Zones in Scotland and 2011 Super Output Areas in Northern Ireland.",,,,
POLAR4 quintile: ,POLAR4 assigns a quintile to an area based on how many young people from that area started a higher education course between 2009-10 and 2013-14 (referred to as the 'combined cohort'). Quintile 1 shows the lowest rates of participation and quintile five shows the highest rates. Further detail of the methodology and data sources can be found here: https://www.officeforstudents.org.uk/data-and-analysis/young-participation-by-area/about-polar/ ,,,,
Entrants:,The combined cohort young entrant estimate (taken from HESA student records / Individualised Learner Records supplied by the Data Service / FES data provided by the Scottish Funding Council),,,,
Population:,The combined cohort young population estimate.,,,,
Participation rate:,Proportion of the young cohort that entered higher education by age 19.,,,,
,,,,,
Due to the inherent variability involved in the estimation of ward-level entrants and populations 130 MSOAs have participation rates which are estimated to be greater than 100 per cent. The rates in these wards have been capped at 100 per cent.,,,,,
Entrant estimates along with population and participation rates for wards with populations of less than 20 or less than 10 entrants have been omitted to prevent the identification of individuals.,,,,,
"On top of this, no population or rate data is included for areas in Northern Ireland.",,,,,
,,,,,
Contains National Statistics data © Crown copyright and database right 2017,,,,,
Contains OS data © Crown copyright and database right 2017,,,,,
Census output is Crown copyright and is reproduced with the permission of the Controller of HMSO and the Queens Printer for Scotland. Source: 2001 Census Key Statistics.,,,,,
The young participation classification of areas is subject to the Open Government Licence for public sector information see http://www.nationalarchives.gov.uk/doc/open-government-licence/,,,,,
,,,,,
ONS website: https://www.ons.gov.uk/,,,,,
OfS website: https://www.officeforstudents.org.uk/,,,,,
,,,,,
If you have any queries regarding this data please contact: officialstatistics@officeforstudents.org.uk,,,,,
,,,,,
Country,MSOA,POLAR4 quintile,Entrants,Population,Participation rate
England,E02000001,5,100,90,100.0%
England,E02000002,2,105,415,25.2%
England,E02000003,4,270,665,40.6%
England,E02000004,3,160,465,34.6%
England,E02000005,3,230,680,33.6%
England,E02000007,3,215,615,35.2%
England,E02000008,3,280,820,33.9%
England,E02000009,3,200,630,31.7%
England,E02000010,2,200,635,31.6%
England,E02000011,4,205,445,45.5%
England,E02000012,5,405,720,56.6%
England,E02000013,2,180,625,28.6%
England,E02000014,2,185,670,27.8%
England,E02000015,2,160,525,30.7%
England,E02000016,5,180,335,53.9%
England,E02000017,5,240,475,50.6%
England,E02000018,3,210,625,33.6%
England,E02000019,3,220,625,35.2%
England,E02000020,4,255,550,46.5%
England,E02000021,3,185,550,33.4%
England,E02000022,4,200,465,42.8%
England,E02000023,3,120,360,33.7%
England,E02000024,5,415,535,77.4%
England,E02000025,5,250,485,51.6%
England,E02000026,5,230,360,64.4%
England,E02000027,4,340,795,43.1%
England,E02000028,5,240,370,64.8%
England,E02000029,4,250,515,48.9%
England,E02000030,5,445,450,98.9%
England,E02000031,5,305,345,88.1%
England,E02000032,5,350,560,63.0%
England,E02000033,4,245,570,42.8%
England,E02000034,5,320,495,64.7%
England,E02000035,5,245,290,83.1%
England,E02000036,5,445,685,64.6%
England,E02000037,5,405,560,72.3%
England,E02000038,5,345,600,57.3%
England,E02000039,5,305,340,90.3%
England,E02000040,5,270,460,59.0%
England,E02000041,5,315,510,62.3%
England,E02000042,5,275,445,61.8%
England,E02000043,5,305,350,87.0%
England,E02000044,4,290,625,46.5%
England,E02000045,5,325,660,49.6%
England,E02000046,5,165,225,73.6%
England,E02000047,4,305,770,39.5%
England,E02000048,5,410,490,83.3%
England,E02000049,4,275,685,40.4%
England,E02000050,5,315,600,52.3%
England,E02000051,5,320,325,98.1%
England,E02000052,5,250,370,67.9%
England,E02000053,5,230,355,64.1%
England,E02000054,5,225,315,71.0%
England,E02000055,5,305,435,69.8%
England,E02000056,5,410,225,100.0%
England,E02000057,4,155,320,49.3%
England,E02000058,5,265,230,100.0%
England,E02000059,5,265,535,49.4%
England,E02000060,5,230,300,75.8%
England,E02000061,5,255,175,100.0%
England,E02000062,5,210,415,50.2%
England,E02000063,5,240,390,61.7%
England,E02000064,5,145,215,68.8%
England,E02000065,4,275,555,49.3%
England,E02000066,3,250,740,34.0%
England,E02000067,2,190,605,31.5%
England,E02000068,3,140,410,34.5%
England,E02000069,3,155,440,35.0%
England,E02000070,3,210,590,35.6%
England,E02000071,2,195,640,30.8%
England,E02000072,2,195,805,24.1%
England,E02000073,4,345,860,40.2%
England,E02000074,1,125,550,22.8%
England,E02000075,4,225,570,39.7%
England,E02000077,3,205,615,32.9%
England,E02000078,3,180,525,33.8%
England,E02000079,4,200,465,42.8%
England,E02000080,3,250,720,34.8%
England,E02000081,2,175,565,31.1%
England,E02000082,3,235,670,35.1%
England,E02000083,2,195,710,27.8%
England,E02000084,4,330,805,40.8%
England,E02000085,2,195,625,30.9%
