FIPS,State,County,Cheapest Technology,Cost
1001,Autauga,Alabama,Natural Gas Combined Cycle,58.34922604041501
1009,Blount,Alabama,Natural Gas Combined Cycle,58.840895489870626
1017,Chambers,Alabama,Natural Gas Combined Cycle,60.22487729080387
1021,Chilton,Alabama,Natural Gas Combined Cycle,58.67190874025948
1033,Colbert,Alabama,Natural Gas Combined Cycle,59.0487575380819
1045,Dale,Alabama,Solar PV (Utility),80.01390635584907
1051,Elmore,Alabama,Natural Gas Combined Cycle,58.99929034057055
1065,Hale,Alabama,Natural Gas Combined Cycle,58.8862031399484
1079,Lawrence,Alabama,Natural Gas Combined Cycle,58.912799388781835
1083,Limestone,Alabama,Natural Gas Combined Cycle,57.97768639655888
1099,Monroe,Alabama,Natural Gas Combined Cycle,57.56853769049279
1107,Pickens,Alabama,Natural Gas Combined Cycle,58.541291889559545
1121,Talladega,Alabama,Natural Gas Combined Cycle,59.27859474025947
5141,Van Buren,Arkansas,Natural Gas Combined Cycle,63.82552237011693
5145,White,Arkansas,Natural Gas Combined Cycle,61.6223015209724
6005,Amador,California,Solar PV (Utility),79.94161391614458
6021,Glenn,California,Natural Gas Combined Cycle,57.9616588491253
6033,Lake,California,Natural Gas Combined Cycle,58.484661346792194
6043,Mariposa,California,Solar PV (Utility),77.50562643001388
6055,Napa,California,Natural Gas Combined Cycle,58.87623934523679
6089,Shasta,California,Natural Gas Combined Cycle,57.838788653169374
6099,Stanislaus,California,Solar PV (Utility),83.12134428726125
6115,Yuba,California,Solar PV (Utility),84.18639390694713
8003,Alamosa,Colorado,Solar PV (Utility),64.36206879526091
8013,Boulder,Colorado,Wind,70.38415970780278
8014,Broomfield,Colorado,Wind,70.38415970780278
8025,Crowley,Colorado,Solar PV (Utility),70.85379592896243
8031,Denver,Colorado,Solar PV (Utility),73.91637839655192
8035,Douglas,Colorado,Solar PV (Utility),70.51717070632168
8047,Gilpin,Colorado,Wind,49.26730179546194
12083,Marion,Florida,Natural Gas Combined Cycle,68.81415130946237
12087,Monroe,Florida,Solar PV (Residential),236.11655457173836
12095,Orange,Florida,Solar PV (Residential),246.05253482241045
12111,St. Lucie,Florida,Natural Gas Combined Cycle,69.36075230635156
12119,Sumter,Florida,Solar PV (Utility),78.71586092910876
12125,Union,Florida,Natural Gas Combined Cycle,68.05434276047339
13001,Appling,Georgia,Natural Gas Combined Cycle,61.75783213839299
13013,Barrow,Georgia,Solar PV (Utility),80.77116772877598
13029,Bryan,Georgia,Solar PV (Residential),245.9748357435591
13043,Candler,Georgia,Solar PV (Utility),79.40152986233119
13055,Chattooga,Georgia,Natural Gas Combined Cycle,60.422911790026156
13059,Clarke,Georgia,Natural Gas Combined Cycle,62.78589139033725
13071,Colquitt,Georgia,Natural Gas Combined Cycle,62.756669841348256
13079,Crawford,Georgia,Natural Gas Combined Cycle,61.95025654119273
13091,Dodge,Georgia,Natural Gas Combined Cycle,62.11310104041502
13107,Emanuel,Georgia,Natural Gas Combined Cycle,60.53678698909292
13113,Fayette,Georgia,Natural Gas Combined Cycle,60.314231640726106
13123,Gilmer,Georgia,Solar PV (Utility),83.42603253402021
8053,Hinsdale,Colorado,Solar PV (Residential),222.7779653121824
8057,Jackson,Colorado,Solar PV (Utility),72.25377077128906
8059,Jefferson,Colorado,Solar PV (Utility),72.03419345217553
8073,Lincoln,Colorado,Solar PV (Utility),71.08719173601688
8083,Montezuma,Colorado,Solar PV (Utility),67.14639999197325
8095,Phillips,Colorado,Wind,65.70626609193117
8105,Rio Grande,Colorado,Solar PV (Utility),64.94520831289701
8111,San Juan,Colorado,Solar PV (Residential),232.29230062917216
8123,Weld,Colorado,Solar PV (Utility),75.76922636504649
9015,Windham,Connecticut,Solar PV (Utility),106.2410476735914
12001,Alachua,Florida,Natural Gas Combined Cycle,68.79690881024008
12013,Calhoun,Florida,Solar PV (Utility),79.28458195880395
12023,Columbia,Florida,Natural Gas Combined Cycle,68.0183647620288
12039,Gadsden,Florida,Solar PV (Utility),78.81699034469509
12055,Highlands,Florida,Natural Gas Combined Cycle,69.54273170759588
12059,Holmes,Florida,Natural Gas Combined Cycle,60.60492594088164
12073,Leon,Florida,Solar PV (Utility),78.13262141147267
4003,Cochise,Arizona,Solar PV (Utility),63.76331078968392
4013,Maricopa,Arizona,Solar PV (Utility),65.99563944464198
5001,Arkansas,Arkansas,Natural Gas Combined Cycle,59.83815547276112
5009,Boone,Arkansas,Natural Gas Combined Cycle,64.82484076825043
5019,Clark,Arkansas,Natural Gas Combined Cycle,61.969530872450036
5029,Conway,Arkansas,Natural Gas Combined Cycle,63.49801122081685
5043,Drew,Arkansas,Natural Gas Combined Cycle,59.56957032346106
5051,Garland,Arkansas,Natural Gas Combined Cycle,62.58267602175011
5061,Howard,Arkansas,Natural Gas Combined Cycle,67.63304523636455
5071,Johnson,Arkansas,Natural Gas Combined Cycle,64.76976606996139
5085,Lonoke,Arkansas,Natural Gas Combined Cycle,61.078559622061185
5097,Montgomery,Arkansas,Natural Gas Combined Cycle,62.491017371672335
5101,Newton,Arkansas,Solar PV (Utility),84.94435527987406
5111,Poinsett,Arkansas,Natural Gas Combined Cycle,61.37033806996139
5123,St. Francis,Arkansas,Natural Gas Combined Cycle,60.798002821127945
5129,Searcy,Arkansas,Natural Gas Combined Cycle,64.54168986933922
13309,Wheeler,Georgia,Natural Gas Combined Cycle,61.518016440103935
13313,Whitfield,Georgia,Solar PV (Utility),84.43290820194247
13319,Wilkinson,Georgia,Natural Gas Combined Cycle,60.81498804041502
16015,Boise,Idaho,Solar PV (Residential),256.0272646125082
16021,Boundary,Idaho,Natural Gas Combined Cycle,52.537961514757164
16045,Gem,Idaho,Natural Gas Combined Cycle,54.055037962657366
16051,Jefferson,Idaho,Solar PV (Utility),80.72781226495329
16057,Latah,Idaho,Natural Gas Combined Cycle,52.8805783639017
16067,Minidoka,Idaho,Natural Gas Combined Cycle,54.56395156452386
16081,Teton,Idaho,Solar PV (Utility),81.4127811981757
17005,Bond,Illinois,Solar PV (Utility),92.39890261767512
17009,Brown,Illinois,Solar PV (Utility),93.36222282177467
17019,Champaign,Illinois,Wind,81.43978179132239
17029,Coles,Illinois,Wind,92.1194840293301
17035,Cumberland,Illinois,Solar PV (Utility),93.20121945442476
17049,Effingham,Illinois,Solar PV (Utility),92.71840935237498
17055,Franklin,Illinois,Solar PV (Utility),90.9974277753485
17065,Hamilton,Illinois,Solar PV (Utility),90.77985045623497
18051,Gibson,Indiana,Natural Gas Combined Cycle,77.36217234366856
18059,Hancock,Indiana,Wind,93.93949216294381
18069,Huntington,Indiana,Natural Gas Combined Cycle,75.442876486747
18079,Jennings,Indiana,Natural Gas Combined Cycle,77.39220339343527
18085,Kosciusko,Indiana,Natural Gas Combined Cycle,76.00231753495827
18095,Madison,Indiana,Solar PV (Utility),97.2988145658183
18105,Monroe,Indiana,Natural Gas Combined Cycle,77.57406984133544
18115,Ohio,Indiana,Solar PV (Utility),92.83595725590217
18125,Pike,Indiana,Natural Gas Combined Cycle,77.6110786438241
18131,Pulaski,Indiana,Natural Gas Combined Cycle,77.10017858316955
18139,Rush,Indiana,Natural Gas Combined Cycle,76.43599659094662
18153,Sullivan,Indiana,Natural Gas Combined Cycle,78.58073029079105
18173,Warrick,Indiana,Solar PV (Utility),90.67642104064865
18179,Wells,Indiana,Natural Gas Combined Cycle,75.13761238721361
18183,Whitley,Indiana,Natural Gas Combined Cycle,75.54832433589152
19009,Audubon,Iowa,Wind,73.09712636125046
19017,Bremer,Iowa,Wind,83.3845632067734
19021,Buena Vista,Iowa,Wind,66.22270476625326
19031,Cedar,Iowa,Wind,82.45301359299364
19039,Clarke,Iowa,Wind,68.64423376208057
17073,Henry,Illinois,Wind,80.96173421094606
17077,Jackson,Illinois,Solar PV (Utility),90.45724372153512
17079,Jasper,Illinois,Solar PV (Utility),92.38458412973421
17089,Kane,Illinois,Wind,89.73754612744852
17103,Lee,Illinois,Natural Gas Combined Cycle,80.9980922814586
17107,Logan,Illinois,Wind,91.45832652619784
17121,Marion,Illinois,Solar PV (Utility),91.82918158797992
17129,Menard,Illinois,Solar PV (Utility),94.57285732086956
17139,Moultrie,Illinois,Wind,85.4728634510346
17145,Perry,Illinois,Solar PV (Utility),91.02626475123031
17155,Putnam,Illinois,Wind,90.58771355333674
17169,Schuyler,Illinois,Solar PV (Utility),93.98791780323347
17175,Stark,Illinois,Wind,85.7010644677363
17179,Tazewell,Illinois,Wind,93.15476137797425
17189,Washington,Illinois,Solar PV (Utility),91.34887148593015
17203,Woodford,Illinois,Wind,85.43267235708882
18009,Blackford,Indiana,Natural Gas Combined Cycle,75.42450058783578
18011,Boone,Indiana,Wind,88.08170236961789
18021,Clay,Indiana,Natural Gas Combined Cycle,78.12200383978004
18033,DeKalb,Indiana,Natural Gas Combined Cycle,76.51892933589153
13125,Glascock,Georgia,Natural Gas Combined Cycle,60.64537528924846
13129,Gordon,Georgia,Natural Gas Combined Cycle,61.37100179002616
13131,Grady,Georgia,Natural Gas Combined Cycle,63.22786449142603
13139,Hall,Georgia,Natural Gas Combined Cycle,61.101783648503144
13157,Jackson,Georgia,Solar PV (Utility),80.36395006643072
13169,Jones,Georgia,Natural Gas Combined Cycle,61.1283666407261
13175,Laurens,Georgia,Natural Gas Combined Cycle,60.926644740259476
13187,Lumpkin,Georgia,Solar PV (Utility),82.43477535403885
13197,Marion,Georgia,Natural Gas Combined Cycle,62.381113541192725
13201,Miller,Georgia,Natural Gas Combined Cycle,62.57222184134826
13217,Newton,Georgia,Natural Gas Combined Cycle,61.4736085909594
13225,Peach,Georgia,Natural Gas Combined Cycle,62.27959119127049
13233,Polk,Georgia,Natural Gas Combined Cycle,60.609064090181704
13243,Randolph,Georgia,Solar PV (Utility),79.61980718144471
13253,Seminole,Georgia,Natural Gas Combined Cycle,62.4627321912705
13265,Taliaferro,Georgia,Solar PV (Utility),80.26212065084442
13277,Tift,Georgia,Natural Gas Combined Cycle,62.391652191270495
13285,Troup,Georgia,Natural Gas Combined Cycle,60.238863590959404
13293,Upson,Georgia,Natural Gas Combined Cycle,61.56060424103718
13303,Washington,Georgia,Natural Gas Combined Cycle,60.541433090181705
20027,Clay,Kansas,Wind,71.99901237168766
20029,Cloud,Kansas,Wind,64.02907678712764
20039,Decatur,Kansas,Wind,63.593220300697084
20049,Elk,Kansas,Wind,67.58771086646355
20065,Graham,Kansas,Wind,61.152145757896875
20075,Hamilton,Kansas,Wind,64.33945999172089
20085,Jackson,Kansas,Wind,77.4849823195017
20095,Kingman,Kansas,Wind,58.811098949961085
20105,Lincoln,Kansas,Wind,55.27271041759806
20115,Marion,Kansas,Wind,59.08199106060856
20127,Morris,Kansas,Wind,63.01564498545636
20135,Ness,Kansas,Wind,54.83945393116751
20145,Pawnee,Kansas,Wind,52.976154703608024
20155,Reno,Kansas,Wind,57.9213404301271
