Area,Year,Solar PV Installed MW,Solar PV New Additions MW,,,,,,,,,,,,,,,,,,,,,,,
World,2000,808.643,,,,,,,,,,,,,,,,,,,,,,,,
World,2001,1092.960,284.317,,,,,,,,,,,,,,,,,,,,,,,
World,2002,1438.002,345.042,,,,,,,,,,,,,,,,,,,,,,,
World,2003,1966.053,528.051,,,,,,,,,,,,,,,,,,,,,,,
World,2004,3053.113,1087.060,,,,,,,,,,,,,,,,,,,,,,,
World,2005,4549.135,1496.022,,,,,,,,,,,,,,,,,,,,,,,
World,2006,6094.163,1545.028,,,,,,,,,,,,,,,,,,,,,,,
World,2007,8507.092,2412.929,,,,,,,,,,,,,,,,,,,,,,,
World,2008,14730.325,6223.233,,,,,,,,,,,,,,,,,,,,,,,
World,2009,22842.595,8112.270,,,,,,,,,,,,,,,,,,,,,,,
World,2010,40333.925,17491.330,,,,,,,,,,,,,,,,,,,,,,,
World,2011,72199.777,31865.852,,,,,,,,,,,,,,,,,,,,,,,
World,2012,101653.869,29454.092,,,,,,,,,,,,,,,,,,,,,,,
World,2013,137178.265,35524.396,,,,,,,,,,,,,,,,,,,,,,,
World,2014,175593.656,38415.391,,,,,,,,,,,,,,,,,,,,,,,
World,2015,222937.156,47343.500,,,,,,,,,,,,,,,,,,,,,,,
World,2016,294799.776,71862.620,,,,,,,,,,,,,,,,,,,,,,,
World,2017,389578.552,94778.776,,,,,,,,,,,,,,,,,,,,,,,
World,2018,482911.602,93333.050,,,,,,,,,,,,,,,,,,,,,,,
World,2019,583872.211,100960.609,,,,,,,,,,,,,,,,,,,,,,,
World,2020,709673.595,125801.384,,,,,,,,,,,,,,,,,,,,,,,
Africa,2000,10.927,,,,,,,,,,,,,,,,,,,,,,,,
Africa,2001,13.029,2.102,,,,,,,,,,,,,,,,,,,,,,,
Africa,2002,15.243,2.214,,,,,,,,,,,,,,,,,,,,,,,
Africa,2003,18.019,2.776,,,,,,,,,,,,,,,,,,,,,,,
Africa,2004,21.996,3.977,,,,,,,,,,,,,,,,,,,,,,,
Africa,2005,25.965,3.969,,,,,,,,,,,,,,,,,,,,,,,
Africa,2006,34.268,8.303,,,,,,,,,,,,,,,,,,,,,,,
Africa,2007,46.656,12.388,,,,,,,,,,,,,,,,,,,,,,,
Africa,2008,63.373,16.717,,,,,,,,,,,,,,,,,,,,,,,
Africa,2009,106.845,43.472,,,,,,,,,,,,,,,,,,,,,,,
Africa,2010,193.842,86.997,,,,,,,,,,,,,,,,,,,,,,,
Africa,2011,266.388,72.546,,,,,,,,,,,,,,,,,,,,,,,
Africa,2012,345.929,79.541,,,,,,,,,,,,,,,,,,,,,,,
Africa,2013,660.348,314.419,,,,,,,,,,,,,,,,,,,,,,,
Africa,2014,1564.927,904.579,,,,,,,,,,,,,,,,,,,,,,,
Africa,2015,1931.342,366.415,,,,,,,,,,,,,,,,,,,,,,,
Africa,2016,2977.809,1046.467,,,,,,,,,,,,,,,,,,,,,,,
Africa,2017,4691.926,1714.117,,,,,,,,,,,,,,,,,,,,,,,
Africa,2018,7157.028,2465.102,,,,,,,,,,,,,,,,,,,,,,,
