Technology,Year,5th percentile,Weighted average,95th percentile,Cumulative capacity MW,Net additions MW,LCOE_units,cumCapacity_units,netAdditions_units
Solar photovoltaic,2010,0.190,0.381,0.510,40334,17491,0.381 $/kWh,40334 MW,17491 MW
Solar photovoltaic,2011,0.161,0.289,0.487,72200,31866,0.289 $/kWh,72200 MW,31866 MW
Solar photovoltaic,2012,0.130,0.217,0.407,101654,29454,0.217 $/kWh,101654 MW,29454 MW
Solar photovoltaic,2013,0.115,0.168,0.357,137178,35524,0.168 $/kWh,137178 MW,35524 MW
Solar photovoltaic,2014,0.092,0.154,0.345,175594,38415,0.154 $/kWh,175594 MW,38415 MW
Solar photovoltaic,2015,0.073,0.117,0.268,222937,47344,0.117 $/kWh,222937 MW,47344 MW
Solar photovoltaic,2016,0.069,0.104,0.243,294800,71863,0.104 $/kWh,294800 MW,71863 MW
Solar photovoltaic,2017,0.051,0.083,0.204,389579,94779,0.083 $/kWh,389579 MW,94779 MW
Solar photovoltaic,2018,0.046,0.070,0.187,482912,93333,0.07 $/kWh,482912 MW,93333 MW
Solar photovoltaic,2019,0.046,0.061,0.162,583872,100961,0.061 $/kWh,583872 MW,100961 MW
Solar photovoltaic,2020,0.039,0.057,0.163,709674,125801,0.057 $/kWh,709674 MW,125801 MW
Onshore wind,2010,0.059,0.089,0.122,177795,29809,0.089 $/kWh,177795 MW,29809 MW
Onshore wind,2011,0.057,0.083,0.125,216344,38549,0.083 $/kWh,216344 MW,38549 MW
Onshore wind,2012,0.057,0.082,0.109,261579,45235,0.082 $/kWh,261579 MW,45235 MW
Onshore wind,2013,0.055,0.079,0.117,292705,31126,0.079 $/kWh,292705 MW,31126 MW
Onshore wind,2014,0.054,0.071,0.115,340816,48110,0.071 $/kWh,340816 MW,48110 MW
Onshore wind,2015,0.045,0.063,0.116,404458,63643,0.063 $/kWh,404458 MW,63643 MW
Onshore wind,2016,0.042,0.060,0.101,452515,48056,0.06 $/kWh,452515 MW,48056 MW
Onshore wind,2017,0.041,0.057,0.102,495381,42866,0.057 $/kWh,495381 MW,42866 MW
Onshore wind,2018,0.036,0.051,0.088,539888,44506,0.051 $/kWh,539888 MW,44506 MW
Onshore wind,2019,0.033,0.045,0.091,593291,53404,0.045 $/kWh,593291 MW,53404 MW
Onshore wind,2020,0.029,0.039,0.069,698043,104751,0.039 $/kWh,698043 MW,104751 MW
Offshore wind,2010,0.114,0.162,0.264,3056,922,0.162 $/kWh,3056 MW,922 MW
Offshore wind,2011,0.112,0.171,0.218,3776,720,0.171 $/kWh,3776 MW,720 MW
Offshore wind,2012,0.108,0.147,0.201,5334,1558,0.147 $/kWh,5334 MW,1558 MW
Offshore wind,2013,0.092,0.139,0.207,7171,1837,0.139 $/kWh,7171 MW,1837 MW
Offshore wind,2014,0.125,0.165,0.193,8492,1321,0.165 $/kWh,8492 MW,1321 MW
Offshore wind,2015,0.105,0.142,0.199,11717,3225,0.142 $/kWh,11717 MW,3225 MW
Offshore wind,2016,0.099,0.118,0.350,14342,2624,0.118 $/kWh,14342 MW,2624 MW
Offshore wind,2017,0.096,0.114,0.156,18837,4495,0.114 $/kWh,18837 MW,4495 MW
Offshore wind,2018,0.078,0.111,0.178,23626,4789,0.111 $/kWh,23626 MW,4789 MW
Offshore wind,2019,0.077,0.093,0.126,28355,4729,0.093 $/kWh,28355 MW,4729 MW
Offshore wind,2020,0.066,0.084,0.191,34367,6013,0.084 $/kWh,34367 MW,6013 MW
Solar concentrating,2010,0.265,0.340,0.386,1266,501,0.34 $/kWh,1266 MW,501 MW
Solar concentrating,2011,0.242,0.336,0.460,1705,439,0.336 $/kWh,1705 MW,439 MW
Solar concentrating,2012,0.226,0.331,0.436,2567,862,0.331 $/kWh,2567 MW,862 MW
Solar concentrating,2013,0.178,0.249,0.331,3842,1275,0.249 $/kWh,3842 MW,1275 MW
Solar concentrating,2014,0.133,0.217,0.260,4499,657,0.217 $/kWh,4499 MW,657 MW
Solar concentrating,2015,0.166,0.224,0.293,4750,251,0.224 $/kWh,4750 MW,251 MW
Solar concentrating,2016,0.189,0.254,0.298,4860,110,0.254 $/kWh,4860 MW,110 MW
Solar concentrating,2017,0.140,0.216,0.250,4959,99,0.216 $/kWh,4959 MW,99 MW
Solar concentrating,2018,0.082,0.152,0.226,5734,775,0.152 $/kWh,5734 MW,775 MW
Solar concentrating,2019,0.109,0.212,0.346,6285,551,0.212 $/kWh,6285 MW,551 MW
Solar concentrating,2020,0.107,0.108,0.111,6379,94,0.108 $/kWh,6379 MW,94 MW
Hydropower,2010,0.020,0.038,0.084,926385,34249,0.038 $/kWh,926385 MW,34249 MW
Hydropower,2011,0.021,0.035,0.069,954392,28007,0.035 $/kWh,954392 MW,28007 MW
Hydropower,2012,0.022,0.037,0.081,984555,30163,0.037 $/kWh,984555 MW,30163 MW
Hydropower,2013,0.022,0.041,0.088,1030306,45750,0.041 $/kWh,1030306 MW,45750 MW
Hydropower,2014,0.022,0.041,0.110,1067449,37143,0.041 $/kWh,1067449 MW,37143 MW
Hydropower,2015,0.023,0.036,0.104,1100260,32811,0.036 $/kWh,1100260 MW,32811 MW
Hydropower,2016,0.026,0.048,0.142,1130320,30060,0.048 $/kWh,1130320 MW,30060 MW
Hydropower,2017,0.027,0.049,0.173,1153317,22998,0.049 $/kWh,1153317 MW,22998 MW
Hydropower,2018,0.026,0.039,0.095,1175646,22328,0.039 $/kWh,1175646 MW,22328 MW
Hydropower,2019,0.023,0.040,0.095,1191570,15924,0.04 $/kWh,1191570 MW,15924 MW
Hydropower,2020,0.026,0.044,0.131,1211701,20131,0.044 $/kWh,1211701 MW,20131 MW
Bioenergy,2010,0.040,0.076,0.140,65853,4734,0.076 $/kWh,65853 MW,4734 MW
Bioenergy,2011,0.035,0.056,0.151,72124,6271,0.056 $/kWh,72124 MW,6271 MW
Bioenergy,2012,0.039,0.061,0.134,77083,4959,0.061 $/kWh,77083 MW,4959 MW
Bioenergy,2013,0.046,0.082,0.176,84458,7376,0.082 $/kWh,84458 MW,7376 MW
Bioenergy,2014,0.047,0.083,0.317,90564,6105,0.083 $/kWh,90564 MW,6105 MW
Bioenergy,2015,0.039,0.074,0.363,96333,5770,0.074 $/kWh,96333 MW,5770 MW
Bioenergy,2016,0.056,0.073,0.244,105169,8835,0.073 $/kWh,105169 MW,8835 MW
Bioenergy,2017,0.056,0.073,0.204,110878,5709,0.073 $/kWh,110878 MW,5709 MW
Bioenergy,2018,0.049,0.057,0.289,118175,7298,0.057 $/kWh,118175 MW,7298 MW
Bioenergy,2019,0.055,0.066,0.245,124175,6000,0.066 $/kWh,124175 MW,6000 MW
Bioenergy,2020,0.044,0.076,0.154,127201,3026,0.076 $/kWh,127201 MW,3026 MW
Geothermal,2010,0.037,0.049,0.075,9992,225,0.049 $/kWh,9992 MW,225 MW
Geothermal,2011,0.0465,0.067,0.1185,10134,142,0.067 $/kWh,10134 MW,142 MW
Geothermal,2012,0.056,0.085,0.162,10481,347,0.085 $/kWh,10481 MW,347 MW
Geothermal,2013,0.04,0.065,0.172,10718,237,0.065 $/kWh,10718 MW,237 MW
Geothermal,2014,0.045,0.067,0.225,11159,441,0.067 $/kWh,11159 MW,441 MW
Geothermal,2015,0.048,0.061,0.109,11799,640,0.061 $/kWh,11799 MW,640 MW
Geothermal,2016,0.054,0.071,0.119,12122,323,0.071 $/kWh,12122 MW,323 MW
Geothermal,2017,0.041,0.075,0.135,12672,551,0.075 $/kWh,12672 MW,551 MW
Geothermal,2018,0.059,0.072,0.163,13148,476,0.072 $/kWh,13148 MW,476 MW
Geothermal,2019,0.049,0.074,0.139,13862,714,0.074 $/kWh,13862 MW,714 MW
Geothermal,2020,0.048,0.071,0.093,14013,151,0.071 $/kWh,14013 MW,151 MW
