"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2019-12","Dec-2019","PC","Percentage","0","Units",,,-0.175901495162711,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-01","Jan-2020","PC","Percentage","0","Units",,,3.61233480176212,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-02","Feb-2020","PC","Percentage","0","Units",,,-1.70068027210885,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-03","Mar-2020","PC","Percentage","0","Units",,,-7.35294117647059,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-04","Apr-2020","PC","Percentage","0","Units",,,-14.8459383753501,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-05","May-2020","PC","Percentage","0","Units",,,8.55263157894736,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-06","Jun-2020","PC","Percentage","0","Units",,,6.16161616161615,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-07","Jul-2020","PC","Percentage","0","Units",,,5.32825880114178,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-08","Aug-2020","PC","Percentage","0","Units",,,-0.180668473351403,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-09","Sep-2020","PC","Percentage","0","Units",,,2.26244343891404,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-10","Oct-2020","PC","Percentage","0","Units",,,1.4159292035398,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-11","Nov-2020","PC","Percentage","0","Units",,,-0.349040139616041,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2020-12","Dec-2020","PC","Percentage","0","Units",,,-3.41506129597198,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-01","Jan-2021","PC","Percentage","0","Units",,,2.71985494106981,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-02","Feb-2021","PC","Percentage","0","Units",,,3.61871138570171,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-03","Mar-2021","PC","Percentage","0","Units",,,3.49233390119249,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-04","Apr-2021","PC","Percentage","0","Units",,,0.246913580246899,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-05","May-2021","PC","Percentage","0","Units",,,-1.72413793103447,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-06","Jun-2021","PC","Percentage","0","Units",,,2.08855472013366,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-07","Jul-2021","PC","Percentage","0","Units",,,-1.1456628477905,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-08","Aug-2021","PC","Percentage","0","Units",,,-1.15894039735097,,
"PRINTO01","Industrial production, s.a.","AUT","Austria","GP","Growth previous period","M","Monthly","2021-09","Sep-2021","PC","Percentage","0","Units",,,-2.34505862646569,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2019-12","Dec-2019","IDX","Index","0","Units","2015_100","2015=100",3.14136125654453,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",-4.82233502538072,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",1.6,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",-5.94925634295713,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",-11.7209302325581,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",13.1717597471022,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",-3.44506517690874,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",5.68948891031819,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",0.09124087591241,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",0.63810391978123,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",6.79347826086958,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2015_100","2015=100",-2.37489397794743,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2020-12","Dec-2020","IDX","Index","0","Units","2015_100","2015=100",-1.30321459600347,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-01","Jan-2021","IDX","Index","0","Units","2015_100","2015=100",5.98591549295777,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-02","Feb-2021","IDX","Index","0","Units","2015_100","2015=100",-1.66112956810632,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-03","Mar-2021","IDX","Index","0","Units","2015_100","2015=100",3.88513513513511,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-04","Apr-2021","IDX","Index","0","Units","2015_100","2015=100",4.39024390243903,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-05","May-2021","IDX","Index","0","Units","2015_100","2015=100",0.233644859813087,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-06","Jun-2021","IDX","Index","0","Units","2015_100","2015=100",8.23620823620826,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-07","Jul-2021","IDX","Index","0","Units","2015_100","2015=100",-4.16367552045946,,
"PRINTO01","Industrial production, s.a.","BEL","Belgium","GP","Growth previous period","M","Monthly","2021-08","Aug-2021","IDX","Index","0","Units","2015_100","2015=100",-1.94756554307115,,
