Date,Region,Private Enterprise,Housing Associations,Local Authorities,Completed
01/01/1990,North East,1310,180,80,1570
01/04/1990,North East,1720,250,10,1980
01/07/1990,North East,1250,170,50,1470
01/10/1990,North East,1790,290,40,2120
01/01/1991,North East,1080,210,10,1310
01/04/1991,North East,1450,310,30,1780
01/07/1991,North East,1390,220,20,1640
01/10/1991,North East,1490,280,80,1850
01/01/1992,North East,1020,320,20,1350
01/04/1992,North East,1270,370,0,1640
01/07/1992,North East,1210,360,10,1590
01/10/1992,North East,1510,510,20,2030
01/01/1993,North East,970,250,10,1230
01/04/1993,North East,1180,490,10,1680
01/07/1993,North East,1230,340,10,1580
01/10/1993,North East,1350,390,10,1740
01/01/1994,North East,1000,290,10,1310
01/04/1994,North East,1270,250,0,1520
01/07/1994,North East,1570,260,10,1830
01/10/1994,North East,1670,450,10,2130
01/01/1995,North East,1530,400,10,1930
01/04/1995,North East,1600,420,10,2030
01/07/1995,North East,1460,180,10,1650
01/10/1995,North East,1370,270,0,1640
01/01/1996,North East,1270,220,0,1500
01/04/1996,North East,1550,190,0,1740
01/07/1996,North East,1560,320,0,1890
01/10/1996,North East,1510,340,40,1880
01/01/1997,North East,1480,180,0,1660
01/04/1997,North East,1620,250,0,1870
01/07/1997,North East,1600,210,10,1820
01/10/1997,North East,1840,190,0,2020
01/01/1998,North East,1620,260,0,1880
01/04/1998,North East,1540,140,10,1680
01/07/1998,North East,1450,180,0,1630
01/10/1998,North East,1630,190,0,1820
01/01/1999,North East,1260,160,0,1420
01/04/1999,North East,1590,150,0,1730
01/07/1999,North East,1630,80,0,1700
01/10/1999,North East,1910,340,0,2250
01/01/2000,North East,1280,230,0,1510
01/04/2000,North East,1530,120,0,1650
01/07/2000,North East,1680,100,0,1780
01/10/2000,North East,1550,150,0,1700
01/01/2001,North East,1230,280,0,1510
01/04/2001,North East,1430,200,0,1640
01/07/2001,North East,1440,100,0,1550
01/10/2001,North East,1670,170,0,1840
01/01/2002,North East,1370,40,0,1410
01/04/2002,North East,1330,20,0,1340
01/07/2002,North East,1230,20,0,1240
01/10/2002,North East,1720,10,0,1730
01/01/2003,North East,1230,60,0,1300
01/04/2003,North East,1360,40,20,1420
01/07/2003,North East,1260,60,0,1320
01/10/2003,North East,1820,80,0,1900
01/01/2004,North East,1150,150,0,1300
01/04/2004,North East,1770,100,0,1870
01/07/2004,North East,1560,100,0,1660
01/10/2004,North East,1760,120,0,1880
01/01/2005,North East,1550,180,0,1730
01/04/2005,North East,1740,140,0,1880
01/07/2005,North East,1740,90,0,1830
01/10/2005,North East,2140,80,0,2220
01/01/2006,North East,1520,100,90,1710
01/04/2006,North East,1850,200,40,2090
01/07/2006,North East,1430,140,30,1600
01/10/2006,North East,2110,60,50,2220
01/01/2007,North East,2110,70,70,2240
01/04/2007,North East,2320,60,0,2380
01/07/2007,North East,1670,70,0,1730
01/10/2007,North East,2470,100,0,2570
01/01/2008,North East,1250,200,0,1440
01/04/2008,North East,1160,140,10,1310
01/07/2008,North East,970,110,0,1080
01/10/2008,North East,1150,170,0,1330
01/01/2009,North East,740,240,0,980
01/04/2009,North East,790,200,10,1000
01/07/2009,North East,880,260,0,1140
01/10/2009,North East,1230,140,0,1370
01/01/2010,North East,800,240,0,1040
01/04/2010,North East,970,240,0,1210
01/07/2010,North East,850,140,10,1000
01/10/2010,North East,1040,200,20,1260
01/01/2011,North East,850,290,20,1170
01/04/2011,North East,920,180,40,1140
01/07/2011,North East,940,150,80,1170
01/10/2011,North East,1010,360,320,1680
01/01/2012,North East,1080,160,0,1240
01/04/2012,North East,960,150,70,1190
01/07/2012,North East,750,200,110,1060
01/10/2012,North East,1140,90,110,1340
01/01/2013,North East,780,160,40,980
01/04/2013,North East,1060,70,100,1230
01/07/2013,North East,760,100,40,910
01/10/2013,North East,1160,200,80,1440
01/01/2014,North East,1010,170,60,1240
01/04/2014,North East,1180,150,110,1440
01/07/2014,North East,1090,250,90,1430
01/10/2014,North East,1220,250,190,1660
01/01/2015,North East,1630,540,120,2290
01/04/2015,North East,1480,170,110,1760
01/07/2015,North East,1150,160,80,1390
01/10/2015,North East,1510,200,80,1780
01/01/2016,North East,1390,230,60,1680
01/04/2016,North East,1400,220,50,1670
01/07/2016,North East,1330,140,0,1480
01/10/2016,North East,1530,280,30,1840
01/01/2017,North East,1540,160,0,1700
01/04/2017,North East,2090,230,140,2460
01/07/2017,North East,1930,190,10,2130
01/10/2017,North East,1850,190,0,2040
01/01/2018,North East,1240,190,10,1440
01/04/2018,North East,1890,250,40,2180
01/07/2018,North East,1650,340,50,2040
01/10/2018,North East,2010,210,90,2300
01/01/2019,North East,2270,160,80,2510
01/04/2019,North East,1990,110,40,2140
01/07/2019,North East,1780,160,10,1950
01/10/2019,North East,1960,190,40,2190
01/01/2020,North East,1630,240,20,1890
01/04/2020,North East,590,40,20,650
01/07/2020,North East,1650,170,30,1860
01/10/2020,North East,2160,390,0,2550
01/01/2021,North East,1870,160,80,2110
01/04/2021,North East,1680,170,20,1870
01/07/2021,North East,1700,230,60,1990
01/10/2021,North East,2240,230,50,2520
01/01/1990,North West,4060,540,190,4790
01/04/1990,North West,3690,650,230,4570
01/07/1990,North West,3830,480,230,4540
01/10/1990,North West,4350,800,190,5340
01/01/1991,North West,3490,850,160,4500
01/04/1991,North West,3630,840,190,4670
01/07/1991,North West,4170,670,20,4860
01/10/1991,North West,4090,600,110,4800
01/01/1992,North West,3760,590,90,4440
01/04/1992,North West,3850,760,70,4680
01/07/1992,North West,3710,730,10,4450
01/10/1992,North West,4020,1120,0,5140
01/01/1993,North West,3510,1290,20,4820
01/04/1993,North West,4120,1160,20,5290
01/07/1993,North West,3780,950,10,4740
01/10/1993,North West,3870,1290,0,5160
01/01/1994,North West,3260,1380,0,4640
01/04/1994,North West,3650,1220,10,4880
01/07/1994,North West,4290,1200,50,5530
01/10/1994,North West,4440,960,0,5400
01/01/1995,North West,4140,1090,0,5230
01/04/1995,North West,4110,1220,0,5330
01/07/1995,North West,3640,890,0,4530
01/10/1995,North West,4110,1380,0,5490
01/01/1996,North West,3800,1350,0,5150
01/04/1996,North West,3700,1090,0,4790
01/07/1996,North West,4040,1100,0,5140
01/10/1996,North West,4330,760,0,5090
01/01/1997,North West,3850,650,0,4500
01/04/1997,North West,4390,700,0,5090
01/07/1997,North West,4020,710,0,4730
01/10/1997,North West,4720,800,0,5520
01/01/1998,North West,3420,450,0,3870
01/04/1998,North West,4460,490,0,4940
01/07/1998,North West,4200,690,0,4890
01/10/1998,North West,4930,640,0,5560
01/01/1999,North West,3360,460,0,3820
01/04/1999,North West,3520,740,0,4260
01/07/1999,North West,3990,670,0,4660
01/10/1999,North West,4890,620,0,5510
01/01/2000,North West,3480,380,0,3850
01/04/2000,North West,4380,500,0,4880
01/07/2000,North West,4010,380,0,4390
01/10/2000,North West,4470,670,0,5140
01/01/2001,North West,3400,360,0,3760
01/04/2001,North West,3590,580,0,4170
01/07/2001,North West,3300,420,0,3720
01/10/2001,North West,3480,430,0,3910
01/01/2002,North West,3710,330,0,4040
01/04/2002,North West,3640,200,0,3840
01/07/2002,North West,4440,220,10,4670
01/10/2002,North West,4950,330,0,5280
01/01/2003,North West,4220,190,0,4410
01/04/2003,North West,4210,170,0,4380
01/07/2003,North West,4080,240,0,4320
01/10/2003,North West,5030,150,10,5180
01/01/2004,North West,3680,190,0,3860
01/04/2004,North West,3850,170,0,4020
01/07/2004,North West,5660,210,0,5870
01/10/2004,North West,4290,150,0,4440
01/01/2005,North West,3460,120,0,3580
01/04/2005,North West,4350,190,0,4530
01/07/2005,North West,4130,220,0,4340
01/10/2005,North West,6580,60,0,6640
